,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,mentality_vision,passing,dribbling,defending,attacking_crossing,attacking_volleys,attacking_short_passing,skill_long_passing,skill_dribbling,skill_ball_control,skill_curve,skill_fk_accuracy,movement_reactions,power_stamina,mentality_positioning,mentality_composure,mentality_penalties,height_cm
18389,R. González,CM,54,64,240000.0,1000.0,21,2025.0,51,54,58,53,40,33,64,61,57,56,41,43,59,41,32,48,48,165
7506,K. Mączyński,"CDM, CM",67,67,350000.0,3000.0,34,2023.0,69,67,67,63,67,34,66,64,65,67,71,66,68,71,65,68,51,175
15453,G. Gaetano,"CAM, CM",60,73,600000.0,6000.0,21,2023.0,62,60,65,33,65,56,61,55,66,66,57,42,51,55,52,54,65,175
9228,K. Shibasaki,"CM, CF",66,66,275000.0,3000.0,36,2022.0,68,69,65,48,66,67,71,69,63,66,67,68,67,68,71,60,53,176
3142,R. Tesche,"CDM, CM",72,72,800000.0,16000.0,34,2022.0,66,68,68,71,66,69,71,68,66,71,69,62,71,74,68,70,62,182
8067,L. Amos,"CDM, CM, CAM",67,75,2100000.0,5000.0,24,2023.0,66,65,66,63,57,36,71,71,65,67,54,48,64,66,50,63,45,179
15518,W. Taïbi,"CM, CAM",60,75,575000.0,2000.0,19,2022.0,67,62,64,46,47,55,68,67,66,66,58,46,48,58,50,53,56,184
1043,Jadsinho Mei,"CDM, CM",77,77,10500000.0,33000.0,25,2024.0,74,65,58,72,41,31,78,75,45,74,33,39,75,89,59,60,40,176
1594,Pedro Obiang,"CDM, CM",75,75,4800000.0,28000.0,29,2023.0,69,71,72,76,68,60,76,72,74,74,56,62,69,72,60,76,59,185
9131,G. Berggren,"CDM, CM",66,71,1200000.0,2000.0,23,2022.0,57,57,58,62,49,46,65,61,53,63,49,35,64,75,57,58,38,187
12796,G. Marsh,"RB, CM, CDM",63,74,1000000.0,2000.0,22,2023.0,53,57,57,60,56,36,63,60,54,60,47,43,58,71,39,54,49,178
14883,F. Ambríz,CM,61,75,750000.0,1000.0,18,2023.0,51,56,59,56,44,42,67,62,60,60,43,42,59,70,63,43,46,181
17003,R. Connolly,"CM, CAM",57,57,160000.0,500.0,29,2021.0,59,59,58,55,57,49,60,57,55,58,60,56,55,68,52,58,59,177
10930,D. Huisman,"CAM, CM",65,80,1700000.0,2000.0,18,2023.0,66,64,63,50,51,57,72,66,62,66,58,48,64,66,66,65,42,190
902,J. Kucka,"CM, CDM",77,77,4900000.0,33000.0,34,2022.0,73,73,74,77,68,69,76,76,75,77,68,69,79,86,75,75,71,186
17872,F. Bălan,CM,55,71,325000.0,550.0,19,2023.0,56,52,55,48,42,32,59,55,52,57,38,36,49,72,46,45,38,166
13506,F. Vanzo,"CM, CAM",62,63,450000.0,1000.0,27,2023.0,61,62,68,50,62,63,63,58,69,68,66,67,63,55,63,69,56,180
9584,M. Svoboda,"CDM, CB, CM",66,74,1800000.0,5000.0,22,2024.0,55,53,58,65,40,33,64,60,60,64,29,26,60,68,45,62,36,195
12127,M. Paredes,"CDM, CM",64,65,575000.0,500.0,28,2021.0,61,56,63,63,40,32,65,62,65,65,31,35,55,70,34,44,43,177
418,Sérgio Oliveira,CM,80,80,20500000.0,19000.0,29,2025.0,81,82,77,72,81,79,84,82,76,81,81,81,79,76,79,81,82,181
1994,Fran Mérida,"CDM, CM, CAM",74,74,3000000.0,15000.0,31,2022.0,81,77,72,67,72,60,77,76,72,76,82,77,71,66,70,70,75,173
11121,A. Judge,"CM, CAM",64,64,450000.0,4000.0,32,2023.0,67,67,67,53,69,62,67,62,64,65,69,69,66,69,65,61,58,169
17882,P. Mattsson,CM,55,69,300000.0,1000.0,19,2024.0,52,52,58,52,42,43,60,52,56,58,42,38,52,67,53,55,35,181
13619,W. Kurtović,"CM, CDM, LM",62,67,575000.0,900.0,25,2022.0,63,61,63,56,62,49,63,58,65,63,58,52,60,75,59,55,48,190
2011,C. Villanueva,"CAM, CM",74,74,1700000.0,4000.0,35,2021.0,77,75,77,49,65,80,79,75,78,76,75,80,72,62,68,72,73,173
8132,G. Fofana,"CDM, CM",67,68,975000.0,6000.0,28,2024.0,65,62,63,64,60,54,65,63,61,65,45,42,62,81,58,67,52,184
1249,I. Hayden,"CDM, CM, CB",76,79,9000000.0,34000.0,26,2026.0,72,63,70,75,43,35,74,69,71,74,45,38,77,78,69,72,49,185
5573,H. Behrens,"CM, CAM",69,69,1100000.0,6000.0,31,2022.0,68,63,64,70,54,62,70,66,64,62,52,40,72,81,70,66,57,188
7965,Park Yong Woo,"CDM, CM",67,67,950000.0,4000.0,27,2022.0,67,61,61,63,47,49,66,67,58,65,48,50,66,77,56,58,51,186
18779,J. Castilla,"CM, RM",52,72,210000.0,500.0,16,2021.0,58,47,57,46,41,30,46,43,55,60,53,33,50,66,54,52,38,173
6984,Hugo Rama,"CM, LM, CAM",68,74,1900000.0,3000.0,24,2022.0,72,68,70,49,65,67,66,67,70,72,71,76,72,51,73,58,51,177
16946,A. Dziedzic,CM,58,73,475000.0,500.0,18,2025.0,56,53,57,53,34,30,63,62,56,60,36,42,53,65,47,60,39,185
13204,A. Bahachille,"CM, CDM, CB",63,76,1200000.0,500.0,20,2022.0,61,60,60,60,55,34,65,65,61,60,38,48,65,67,60,58,66,193
16585,C. Zuvela,"CDM, CM",58,64,300000.0,1000.0,24,2022.0,52,53,59,53,47,34,60,57,58,58,43,36,52,69,48,55,40,179
14930,Sergio Carrasco,CM,61,69,725000.0,2000.0,22,2022.0,66,66,65,48,61,53,71,69,67,66,62,52,58,42,60,63,62,176
9730,Terrats,"CDM, CM",66,80,1900000.0,2000.0,20,2024.0,60,61,61,64,47,40,72,65,60,67,46,47,61,62,51,52,45,180
699,A. Westwood,"CDM, CM",78,78,10000000.0,36000.0,31,2023.0,77,80,74,74,82,56,80,79,70,77,83,80,77,86,68,77,64,175
9479,R. Ljubicic,"CM, LWB, CDM",66,75,1900000.0,6000.0,21,2024.0,67,65,68,61,59,44,69,64,67,69,57,61,63,72,57,65,39,178
8183,H. Mancilla,"CDM, CM",67,67,875000.0,6000.0,29,2022.0,54,61,54,62,59,31,69,71,47,57,34,35,62,92,33,60,36,174
4785,J. Ščuk,"CDM, CM",70,70,1300000.0,8000.0,30,2022.0,71,67,69,68,62,42,72,71,68,71,49,46,68,73,49,74,66,184
11928,P. Vroegh,"CM, CDM",64,75,1300000.0,3000.0,21,2023.0,63,63,64,56,52,50,68,67,61,67,57,57,63,64,61,64,44,175
2663,L. Schaub,"CAM, RM, CM",73,76,4000000.0,22000.0,26,2022.0,74,72,77,42,67,60,75,71,77,79,68,62,65,73,68,68,65,177
7097,J. Knight,"CB, CM",68,75,2200000.0,5000.0,23,2024.0,61,56,61,67,40,41,63,64,59,65,42,37,69,77,57,54,42,185
13192,Á. Cayetano,"CDM, CM, CB",63,63,400000.0,500.0,30,2023.0,57,52,51,62,39,30,61,55,40,62,32,31,64,63,44,49,39,188
9927,S. Suciu,"CM, CDM",65,65,575000.0,2000.0,31,2022.0,64,63,64,62,56,55,66,65,59,69,57,59,60,81,57,67,57,184
11083,A. Grant,"CDM, CM, CB",64,64,200000.0,4000.0,34,2022.0,58,58,62,61,52,49,62,59,61,62,54,46,59,74,57,63,41,178
2944,D. Geiger,CM,73,80,6000000.0,23000.0,23,2022.0,75,71,78,55,57,45,80,76,75,80,60,48,74,76,58,71,40,173
6270,C. Oliva,"CM, CDM",69,73,1900000.0,14000.0,25,2023.0,68,68,68,69,59,43,76,69,65,72,60,47,72,60,58,64,51,178
16082,Ma Xingyu,"CM, CDM",59,59,180000.0,2000.0,31,2021.0,60,52,57,61,38,30,59,56,55,58,33,38,62,73,58,53,40,181
9918,C. Warner,"CDM, CM",65,65,350000.0,2000.0,33,2025.0,62,61,65,61,55,58,63,63,63,67,69,47,62,69,59,60,54,178
5126,C. Rivera,"CDM, CM, CAM",70,75,2100000.0,11000.0,25,2022.0,65,63,66,67,58,39,71,65,64,70,46,35,65,73,56,66,57,184
686,R. Vormer,CM,78,78,8500000.0,28000.0,33,2023.0,81,79,70,75,79,76,79,77,67,75,77,80,76,92,79,79,75,178
2121,M. Prietl,"CDM, CM, CB",74,74,3600000.0,21000.0,29,2024.0,64,62,65,72,46,35,74,65,62,70,47,42,70,93,55,72,44,187
19158,Fang Hao,CM,49,54,70000.0,1000.0,21,2021.0,49,49,47,41,38,35,56,53,45,45,33,38,48,58,46,35,42,175
14453,M. Al Qarni,"CDM, CM",61,61,230000.0,3000.0,31,2025.0,53,53,57,59,48,36,59,56,50,60,44,40,55,69,46,63,44,180
18038,D. Rodríguez,CM,55,74,325000.0,1000.0,19,2022.0,49,54,57,46,40,45,65,59,60,51,40,48,55,61,54,47,50,178
15149,Pablo Ibáñez,"CM, CB",61,71,725000.0,4000.0,22,2022.0,50,59,58,58,49,34,69,67,51,66,51,58,60,69,59,52,51,179
9852,A. Ríos,"ST, CAM, CM",65,65,600000.0,2000.0,31,2021.0,64,63,66,38,55,62,66,65,64,66,70,56,61,77,64,68,69,178
19060,I. Hoffman,CM,50,61,100000.0,650.0,19,2025.0,51,52,52,37,43,35,59,56,48,50,49,39,53,51,49,54,45,175
7133,O. Kiomourtzoglou,"CDM, CM",68,73,1700000.0,3000.0,23,2023.0,53,55,60,67,37,36,67,60,54,66,42,39,64,78,52,65,40,188
15100,Markel Lozano,"CM, CDM, CB",61,65,450000.0,1000.0,25,2022.0,56,61,58,60,52,34,71,67,55,65,43,44,62,68,38,52,51,189
15035,S. Kartum,"CM, CAM",61,66,475000.0,850.0,25,2023.0,59,56,62,52,47,40,61,56,62,64,51,44,62,77,64,49,41,177
3715,Pêpê,"CDM, CM",72,77,3200000.0,800.0,24,2022.0,71,70,72,66,59,55,74,80,73,75,67,50,73,82,59,75,55,183
3720,E. Rexhbeçaj,"CM, CDM, CAM",72,76,3300000.0,32000.0,23,2022.0,70,70,73,64,68,50,76,74,74,74,49,41,71,81,70,65,54,182
16486,T. Rupil,CM,59,75,575000.0,1000.0,18,2023.0,65,59,66,46,53,49,62,59,65,68,55,51,56,54,56,61,50,171
12825,D. Kaneko,"CDM, CM",63,69,700000.0,2000.0,22,2022.0,61,60,63,58,55,49,64,62,61,66,51,49,63,72,60,54,51,177
19235,C. Porter,CM,47,59,110000.0,500.0,19,2021.0,49,50,46,41,54,32,51,50,41,42,53,31,49,63,51,47,44,175
7112,H. Mae,"CDM, CM",68,70,1400000.0,2000.0,25,2022.0,67,64,64,66,61,67,69,67,62,67,33,41,64,73,54,68,35,173
7943,D. Louiserre,"CDM, CM",67,70,1200000.0,2000.0,26,2022.0,71,67,69,62,59,61,70,65,64,70,63,66,62,74,61,68,67,172
11483,A. Deiola,CM,64,66,725000.0,7000.0,25,2024.0,60,60,61,60,48,68,68,64,62,66,52,42,65,58,66,62,34,189
18045,M. Abbas,CM,55,72,325000.0,500.0,18,2025.0,55,53,57,47,45,45,59,56,53,62,45,36,53,64,51,49,36,174
14975,Arratia,CM,61,73,800000.0,2000.0,21,2022.0,64,60,60,57,45,43,70,62,57,68,49,47,62,69,33,51,49,185
1285,R. Andrich,"CM, CDM",76,78,9000000.0,44000.0,26,2026.0,71,76,71,73,71,66,80,77,71,75,77,79,75,86,69,70,62,187
14991,T. Civeja,CM,61,79,850000.0,2000.0,19,2022.0,61,60,63,49,47,35,67,64,60,65,49,50,60,63,52,56,50,180
17598,M. Sande,CM,56,63,275000.0,700.0,23,2023.0,51,54,53,43,39,39,65,64,52,54,39,38,52,74,56,44,45,181
606,J. Weigl,"CM, CDM",79,82,23000000.0,16000.0,25,2024.0,79,75,77,80,59,57,84,82,76,79,63,46,82,85,69,83,52,186
14670,O. Otasowie,"CDM, CB, CM",61,77,825000.0,3000.0,20,2025.0,60,57,61,57,44,38,64,61,63,62,40,51,54,64,54,55,43,191
6830,Kim Do Hyeok,"CM, CDM",68,68,1200000.0,3000.0,29,2022.0,74,67,66,57,60,50,68,66,64,63,57,65,67,89,67,69,53,173
18014,J. Hodge,"CDM, CM",55,72,300000.0,2000.0,18,2024.0,55,54,58,48,49,37,58,55,54,58,43,41,58,53,51,57,53,177
16565,S. Pasquali,"CM, CDM",58,70,500000.0,500.0,21,2022.0,67,59,63,54,59,36,60,58,62,64,44,38,52,58,54,60,59,176
713,Fransérgio,"CM, CAM",78,78,13500000.0,29000.0,30,2024.0,75,75,75,73,70,68,77,79,76,78,75,72,81,87,78,82,73,187
10766,S. Köhler,"CM, CDM",65,69,1000000.0,1000.0,24,2023.0,67,61,63,62,45,41,69,67,62,64,40,45,62,76,59,66,48,185
3552,M. Vlap,"CAM, CM",72,76,3400000.0,14000.0,24,2022.0,72,69,70,47,64,66,71,65,71,73,72,74,71,63,79,74,75,190
9965,J. Scowen,"CM, CDM",65,65,725000.0,3000.0,28,2023.0,64,63,66,65,59,49,65,65,64,66,58,65,64,81,63,62,42,178
17642,L. Calzadilla,CM,56,64,325000.0,2000.0,21,2025.0,47,56,56,49,51,43,62,65,59,57,42,49,55,63,54,44,51,168
6915,M. Christiansen,"CDM, CM",68,73,1700000.0,8000.0,24,2023.0,61,63,64,64,62,39,66,64,64,66,64,49,65,80,53,62,48,185
15362,C. Coventry,"CM, CDM",60,74,600000.0,7000.0,21,2022.0,61,58,62,52,45,41,66,63,59,63,47,44,53,75,48,67,60,175
1444,Gonzalo Villar,"CM, CDM",76,83,15000000.0,39000.0,23,2024.0,77,75,78,71,64,49,84,75,75,85,64,66,74,75,60,74,53,181
14722,Manu Navarro,CM,61,75,775000.0,2000.0,20,2022.0,65,59,58,55,49,38,65,62,56,58,42,47,63,52,57,49,45,174
1252,J. Ferri,"CDM, CM",76,76,6500000.0,24000.0,29,2023.0,78,74,73,69,64,56,80,78,71,75,71,55,76,80,70,74,54,173
1131,A. Musrati,"CDM, CM",77,81,13500000.0,14000.0,25,2022.0,68,68,68,74,60,42,75,78,68,73,43,41,76,80,54,77,48,189
1352,L. Tousart,"CDM, CM",76,81,10500000.0,31000.0,24,2025.0,60,65,65,77,56,43,76,74,64,67,39,45,71,85,57,68,48,185
16533,Zhang Li,"CM, CDM",58,58,170000.0,2000.0,31,2021.0,64,57,59,61,52,37,62,53,57,56,35,38,56,64,52,54,43,172
1261,Gabriel,"CM, CDM",76,77,8500000.0,14000.0,27,2024.0,76,74,77,75,68,67,75,76,79,78,74,73,75,77,74,81,67,187
16527,Li Guangwen,"CDM, CM",58,58,170000.0,2000.0,30,2022.0,53,47,56,59,47,28,51,42,52,56,31,28,61,64,46,39,33,175
18035,R. Aguilera,"CDM, CM",55,65,275000.0,850.0,21,2021.0,42,50,54,50,36,31,62,57,51,55,38,39,52,58,50,41,39,177
10013,K. Rowe,"CM, CAM, LB",65,65,700000.0,2000.0,29,2021.0,65,67,67,57,67,50,68,65,67,65,69,66,65,67,64,65,64,173
11378,T. Nishi,CM,64,64,475000.0,2000.0,31,2022.0,68,64,66,54,54,46,70,68,64,65,53,50,57,73,54,66,54,173
15230,Lü Peng,"CDM, CM",60,60,170000.0,2000.0,31,2022.0,53,53,58,62,54,32,55,55,56,57,41,46,55,59,52,52,39,182
8631,N. Kvekveskiri,"CM, CDM",67,67,1000000.0,4000.0,29,2023.0,68,67,65,62,64,45,70,69,64,67,54,67,70,74,61,58,48,184
14578,K. Al Samiri,"CM, CDM, RM",61,66,500000.0,6000.0,24,2023.0,60,61,66,59,58,50,66,64,64,66,42,46,57,65,55,55,45,168
5522,H. Arter,"CDM, CM",69,69,975000.0,20000.0,31,2022.0,64,68,67,65,62,63,73,69,65,68,64,70,67,64,65,73,68,176
11404,S. Friðjónsson,"CM, CDM, CAM",64,69,850000.0,1000.0,25,2022.0,59,62,64,58,56,62,68,66,62,67,51,57,57,80,57,60,45,186
1239,F. Fajr,"CM, CDM, RM",76,76,6000000.0,19000.0,32,2022.0,75,78,76,67,77,62,79,80,77,78,82,78,77,80,67,63,72,179
4715,M. Paniagua,"CDM, CB, CM",70,70,550000.0,500.0,34,2021.0,54,65,58,68,66,43,72,73,53,64,48,54,74,58,53,56,44,180
1887,H. Maïga,"CDM, CM",75,78,6500000.0,16000.0,25,2024.0,70,67,68,71,56,40,72,71,69,70,51,63,73,90,62,63,57,181
4780,Sin Jin Ho,"CDM, CM",70,70,1100000.0,5000.0,32,2022.0,75,72,69,63,70,51,72,71,68,72,70,72,69,83,72,70,66,177
2197,Eraso,"CAM, CM, RM",74,74,3500000.0,12000.0,31,2022.0,77,73,71,58,64,59,78,76,73,75,53,59,79,80,79,74,53,181
4855,A. Meleán,"CB, CDM, CM",70,70,525000.0,650.0,34,2021.0,57,58,47,70,41,17,71,60,34,63,40,58,65,62,39,65,47,183
7633,K. Drygas,"CDM, CM",67,67,875000.0,3000.0,29,2022.0,67,65,65,65,62,61,67,63,63,66,61,64,64,70,61,69,63,184
13246,M. Rogoski,"CM, RM, LM",63,64,550000.0,2000.0,27,2022.0,68,63,58,58,59,44,68,64,54,63,40,49,65,71,55,60,55,176
12152,A. Rahmanović,"CAM, CM",64,65,675000.0,4000.0,27,2022.0,65,66,62,42,67,51,68,64,64,67,65,52,66,53,63,60,56,192
7544,J. Bostock,"CDM, CM",67,67,875000.0,5000.0,29,2022.0,64,68,66,62,69,46,69,68,65,67,66,66,64,67,63,68,63,188
8406,A. Derviševič,"CM, CDM",67,67,1000000.0,1000.0,28,2022.0,74,73,59,54,72,55,72,76,58,65,71,70,63,53,66,53,56,195
13063,Bubacar Djaló,"CDM, CM",63,71,1000000.0,500.0,24,2022.0,47,48,54,62,29,32,60,57,49,58,33,39,59,74,42,53,51,188
13129,A. Małachowski,CM,63,68,725000.0,1000.0,23,2022.0,60,63,63,63,62,48,66,65,63,63,62,52,57,77,57,59,48,183
327,J. Ward-Prowse,CM,81,84,33500000.0,69000.0,26,2026.0,82,86,78,67,89,51,85,84,76,82,92,92,75,91,65,77,79,173
18785,G. Asomani,"CDM, CM",52,64,190000.0,1000.0,22,2021.0,39,47,53,49,37,28,58,51,48,53,32,39,53,60,29,39,39,168
8186,C. Durkin,"CM, CDM, RM",67,76,2300000.0,4000.0,21,2023.0,63,66,65,65,65,48,69,66,66,68,64,60,66,78,58,66,50,182
16920,D. Toma,"CM, CDM, RM",58,69,450000.0,800.0,21,2022.0,47,53,56,48,36,46,67,63,48,62,32,42,67,68,46,52,43,176
2782,H. Arslan,"CM, CDM",73,73,2400000.0,15000.0,32,2024.0,73,67,74,70,59,53,72,64,75,76,62,59,74,87,69,73,61,186
2115,Omar Mascarell,"CDM, CM",74,74,3700000.0,17000.0,28,2025.0,67,67,73,70,50,54,74,78,71,75,61,65,75,77,61,69,63,181
16215,H. Wise,CM,59,69,500000.0,6000.0,21,2022.0,51,59,58,53,48,50,69,69,58,57,50,43,58,61,55,45,57,178
12364,M. Dolan,"CB, CM",63,63,425000.0,3000.0,28,2023.0,63,61,63,62,62,46,62,57,60,63,65,59,60,71,51,64,60,175
2178,P. Billing,"CM, CAM",74,79,6000000.0,29000.0,25,2024.0,68,71,71,72,60,68,75,77,74,75,74,68,76,77,69,74,52,197
8273,S. Oum Gouet,"CDM, CM",67,74,1900000.0,4000.0,23,2024.0,67,64,65,63,58,41,68,63,64,67,59,46,70,80,49,69,41,185
10271,M. Poletanović,"CM, CDM",65,65,750000.0,3000.0,27,2022.0,64,65,64,61,64,63,66,65,64,66,63,65,64,77,64,63,52,187
13282,G. Sangaré,"CDM, CM",63,69,700000.0,1000.0,24,2023.0,36,49,53,63,36,32,63,57,46,62,31,47,63,44,41,48,31,180
10253,R. Castro,"CDM, CM",65,65,500000.0,500.0,31,2021.0,55,58,60,65,48,31,66,63,58,62,37,50,65,82,44,58,65,181
2706,R. Loaiza,"CDM, CM",73,73,2900000.0,12000.0,27,2022.0,68,66,66,70,58,35,77,67,65,68,39,35,70,80,59,73,37,180
12430,Z. Sami,"CDM, CM",63,63,425000.0,3000.0,28,2022.0,55,54,56,60,46,36,60,56,54,60,45,33,57,82,51,55,40,186
8110,S. Field,"CM, CDM",67,75,2300000.0,6000.0,23,2024.0,60,65,65,64,52,47,75,75,63,67,51,47,65,75,56,75,54,185
12254,S. Foley,CM,63,63,220000.0,2000.0,34,2022.0,64,63,63,61,63,51,65,61,62,65,51,57,55,70,59,54,56,183
16122,K. Askildsen,CM,59,76,600000.0,2000.0,20,2024.0,55,57,62,57,48,42,65,60,62,64,54,39,58,61,43,56,41,190
8126,L. Samson,"CB, CDM, CM",67,69,1100000.0,2000.0,25,2023.0,53,56,61,67,44,22,67,62,64,62,32,37,62,70,51,57,40,190
14080,T. Takamine,"CM, CDM, CB",62,67,600000.0,1000.0,23,2022.0,52,59,63,58,51,41,68,64,62,66,48,50,61,62,57,56,64,177
15617,J. Espinoza,"CDM, CM",60,70,500000.0,500.0,20,2025.0,65,56,53,59,42,30,62,62,49,57,33,38,53,59,38,41,37,169
7438,Á. Brun,"CM, CDM",68,68,550000.0,500.0,34,2021.0,59,61,64,61,47,30,74,68,62,74,33,50,62,65,66,48,55,186
7428,D. Avramovski,"CAM, CM",68,71,1600000.0,6000.0,26,2023.0,65,67,69,39,63,55,71,66,71,72,71,63,57,62,70,64,59,184
18964,E. Hill,CM,51,65,140000.0,1000.0,18,2022.0,54,50,50,49,40,40,55,55,49,53,38,30,51,42,48,40,44,180
14192,J. Castillo,"CDM, CM",62,76,900000.0,500.0,20,2021.0,58,55,59,57,45,31,61,66,61,61,33,39,55,70,34,43,37,185
14307,M. Kaput,"CDM, CM",62,67,550000.0,800.0,23,2022.0,57,57,53,58,48,37,65,63,49,57,42,35,62,63,35,52,47,185
14297,Iker Bilbao,"CM, CDM",62,66,550000.0,2000.0,25,2022.0,60,63,61,55,49,48,71,67,62,64,53,68,58,70,46,56,57,182
18139,Cui Ming'an,"CM, CDM",54,57,140000.0,2000.0,26,2022.0,56,56,45,52,46,38,62,59,38,46,53,45,56,63,50,45,41,180
15636,U. Bertelli,CM,60,74,550000.0,700.0,17,2023.0,57,60,60,53,50,48,70,59,59,65,55,49,54,61,59,56,53,168
4432,A. Cervantes,"CDM, CM",71,80,3900000.0,11000.0,23,2022.0,70,65,64,67,51,42,74,70,62,62,49,42,72,79,62,67,47,181
19002,J. Andersson,CM,51,67,150000.0,500.0,18,2023.0,49,49,51,50,39,43,56,51,48,54,38,38,50,53,45,48,37,184
16406,A. Al Hurabi,"CDM, CM",59,64,300000.0,3000.0,24,2025.0,50,51,56,58,44,31,60,55,55,58,30,34,56,63,46,43,39,176
12580,Hélder Tavares,"CDM, CM",63,63,325000.0,1000.0,31,2022.0,59,58,60,61,51,50,63,60,57,61,48,42,61,72,59,62,52,178
9274,B. Piñatares,"CDM, CM",66,66,600000.0,500.0,31,2022.0,65,60,61,62,48,53,65,66,59,64,36,54,63,79,47,59,57,183
255,Rúben Neves,CM,82,87,46000000.0,89000.0,24,2024.0,86,85,77,74,78,82,88,85,76,82,85,84,80,79,65,84,76,180
6698,J. Irvine,CM,68,68,1200000.0,8000.0,28,2025.0,70,65,67,67,61,58,67,63,67,70,63,58,70,80,69,69,55,189
14351,Bastida,"CDM, CM",62,80,950000.0,500.0,17,2022.0,57,54,54,62,35,32,64,60,47,61,36,41,47,54,35,53,42,170
1775,J. Rodríguez,"CDM, CM",75,80,7500000.0,12000.0,25,2023.0,67,63,67,73,50,47,73,74,65,76,33,35,75,76,64,66,37,179
8999,D. Miloc,"CM, CDM",66,66,825000.0,3000.0,30,2022.0,59,61,64,66,55,34,67,70,61,67,40,45,72,90,58,58,39,177
4995,J. Benet,"CM, CAM",70,73,2100000.0,4000.0,26,2024.0,71,72,69,58,70,54,74,72,66,74,68,70,68,84,65,64,69,186
4990,J. Williams,"CDM, CM, CAM",70,77,3000000.0,15000.0,24,2024.0,65,67,67,68,60,62,72,73,69,67,58,54,65,64,47,63,59,185
13283,C. Cvetko,"CM, CDM",63,67,675000.0,2000.0,24,2023.0,63,60,61,56,52,42,65,65,60,64,49,45,63,84,43,59,50,181
9752,S. Nakamura,"CDM, CM, CAM",66,67,875000.0,1000.0,27,2025.0,62,64,66,61,58,61,67,68,65,68,63,65,63,75,64,63,62,178
7199,M. Hoedemakers,"CDM, CM",68,76,2500000.0,3000.0,23,2023.0,66,66,66,65,62,43,68,64,66,68,72,70,64,72,59,63,45,181
7016,A. Arias,"CM, CDM",68,73,1800000.0,500.0,25,2021.0,70,65,67,66,58,40,68,66,65,70,55,65,65,67,70,53,60,164
4952,O. Govea,"CM, CDM, CAM",70,74,2200000.0,8000.0,25,2022.0,73,70,71,68,58,63,73,70,68,73,75,74,66,67,63,68,57,174
5512,P. Oniangué,"CDM, CM, CB",69,69,925000.0,3000.0,32,2022.0,67,62,63,68,50,60,65,65,62,65,62,59,65,85,66,68,52,190
5257,Toni Moya,"CM, CAM, CDM",70,78,3500000.0,11000.0,23,2023.0,69,63,70,63,44,38,72,70,72,74,44,47,70,62,65,60,51,180
5106,Q. Boisgard,"CM, LM, RM",70,76,2500000.0,9000.0,24,2023.0,71,72,71,55,68,60,76,73,74,71,64,69,63,72,68,65,70,174
5108,S. Ghoddos,"CAM, CM, LW",70,70,1700000.0,24000.0,27,2023.0,70,69,71,49,67,68,72,64,69,73,65,78,68,62,68,69,62,177
6684,D. Linsmayer,"CDM, CM",68,68,1000000.0,8000.0,29,2025.0,64,63,63,66,52,32,70,67,62,65,51,47,66,78,47,66,48,182
10127,F. Pol,"CM, CAM, CDM",65,65,450000.0,500.0,33,2022.0,65,63,63,63,63,45,69,64,58,70,39,32,68,60,63,65,46,173
12390,A. Blomqvist,"CM, CDM",63,63,475000.0,1000.0,29,2022.0,70,68,63,49,67,62,67,69,61,62,67,67,60,60,65,68,58,182
7121,Olabe,"CM, LM",68,73,1800000.0,5000.0,25,2023.0,73,69,69,56,68,45,73,70,69,70,52,45,63,70,69,61,44,178
12400,M. Al Fehaid,"CDM, CB, CM",63,63,325000.0,6000.0,31,2023.0,51,55,61,61,47,34,61,65,59,59,44,35,53,81,47,63,36,171
4409,J. Yueill,"CM, CDM",71,75,2700000.0,5000.0,24,2021.0,73,70,69,63,58,68,74,76,67,71,65,60,73,85,61,74,56,178
13347,S. Aka,"CDM, CM",63,66,575000.0,3000.0,26,2025.0,57,59,61,60,51,34,66,64,64,61,48,44,52,69,39,59,47,183
10595,L. Fraser,"CDM, CM, CB",65,72,1300000.0,2000.0,23,2021.0,58,62,59,60,53,28,70,71,58,64,58,37,58,62,39,58,44,185
10223,B. Vécsei,CM,65,65,750000.0,500.0,27,2026.0,72,66,70,56,60,58,68,67,71,69,58,63,58,61,55,68,64,185
10969,A. Terrazas,"CM, CDM",65,69,1000000.0,500.0,20,2021.0,67,59,63,60,51,43,62,65,65,62,42,38,62,73,65,65,47,175
11584,V. Moberg,CM,64,64,550000.0,1000.0,30,2022.0,61,60,61,60,57,38,65,63,62,63,46,35,64,82,62,64,59,190
10205,J. Vet,"CM, CAM, CDM",65,65,750000.0,3000.0,27,2022.0,62,58,59,62,39,50,65,65,63,63,64,46,65,86,63,66,41,194
5053,A. Grgić,"CM, CDM, CAM",70,77,3200000.0,12000.0,24,2022.0,74,74,66,64,71,53,76,72,62,72,74,73,62,70,72,69,70,188
7716,Y. Chibsah,"CDM, CM",67,67,900000.0,8000.0,28,2022.0,62,62,67,64,60,44,67,64,66,64,50,46,66,79,62,66,52,178
10861,E. Zaracho,"CM, CDM",65,65,575000.0,500.0,31,2021.0,76,67,61,50,62,33,68,68,58,67,44,55,60,61,63,55,51,179
6418,H. Lamberti,"CDM, CM",68,68,240000.0,4000.0,37,2021.0,56,56,60,66,45,50,62,61,59,60,46,52,70,80,56,59,49,172
13922,A. Riccardi,"CM, CAM",62,77,950000.0,6000.0,20,2023.0,57,59,63,51,52,46,65,67,62,67,41,47,60,57,69,53,60,178
