,Name ,player_positions,overall,potential,age,physic,preferred_foot,height_cm,club_contract_valid_until,value_eur,power_jumping,power_strength,defending,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,mentality_interceptions,mentality_aggression,mentality_composure,passing,skill_long_passing,attacking_heading_accuracy,power_long_shots
12803,A. Aguirre,"CB, RB",63,74,21,69,Right,184,2022.0,1000000.0,70,73,63,58,68,66,60,66,44,38,38,67,22
4631,S. Grippo,CB,70,70,32,79,Right,188,2024.0,1000000.0,86,88,69,69,70,60,68,66,65,62,69,73,64
15774,E. Ndizeye,CB,60,67,21,57,Right,183,2024.0,475000.0,66,63,65,61,72,71,59,48,54,32,30,62,28
7556,L. Gerson,"LB, RB, CB",67,67,31,74,Right,187,2022.0,750000.0,61,74,64,64,65,60,66,70,67,68,68,63,54
1318,J. Bednarek,CB,76,82,25,77,Right,189,2025.0,10500000.0,81,80,78,76,78,74,81,78,62,53,55,77,23
12453,M. Lauritsen,CB,63,63,28,73,Right,195,2022.0,425000.0,43,82,62,62,63,58,60,63,50,49,55,66,35
8853,Hernán,"CB, CDM",66,66,30,72,Right,181,2025.0,700000.0,70,70,65,64,68,64,64,73,66,64,64,63,59
8411,H. Araki,CB,67,71,24,71,Right,186,2023.0,1300000.0,52,70,69,68,70,69,67,70,53,49,60,68,15
2187,Raúl,CB,74,74,31,79,Left,187,2022.0,2900000.0,83,82,75,75,74,71,74,80,75,58,62,81,54
4609,S. Taylor,CB,70,70,35,78,Right,188,2022.0,425000.0,73,86,69,72,67,65,69,74,75,59,63,71,28
8195,S. Bueno,CB,67,79,22,73,Right,190,2024.0,2400000.0,68,75,68,70,69,63,67,70,67,43,54,64,28
4661,E. Muñoz,CB,70,70,30,73,Right,185,2021.0,1300000.0,76,79,70,70,70,69,68,74,68,49,50,76,31
18787,Sim Won Seong,CB,52,59,22,67,Right,190,2022.0,150000.0,71,79,51,50,54,53,49,42,42,27,24,48,17
9243,A. Skovgaard,CB,66,71,24,73,Left,185,2022.0,1200000.0,85,76,65,65,67,64,63,69,59,47,58,63,24
6971,Paulo Fajarda,CB,68,68,29,68,Right,180,2024.0,1000000.0,73,70,70,71,70,69,75,77,66,47,48,62,27
14101,O. Ndong,"CB, CDM",62,68,21,71,Right,192,2022.0,575000.0,70,84,61,59,64,60,57,63,47,45,46,62,24
10142,C. Johansson,CB,65,67,27,72,Right,188,2023.0,750000.0,73,75,64,64,64,59,63,74,45,43,53,66,17
1034,A. Disasi,CB,77,82,23,83,Right,190,2025.0,14500000.0,72,92,77,78,79,73,76,77,70,53,68,76,17
13035,C. Cresswell,CB,63,81,18,63,Right,191,2025.0,1100000.0,62,67,63,62,64,59,63,63,55,48,57,68,23
9182,Nazario Serpe,"CDM, CB",66,66,29,69,Right,178,2024.0,725000.0,77,70,67,65,71,71,75,67,63,60,54,45,40
11185,D. Cvetinović,CB,64,64,32,73,Right,186,2022.0,375000.0,77,78,62,62,64,55,63,74,65,54,55,63,46
889,Luiz Gustavo,"CDM, CB",77,77,33,80,Left,187,2023.0,5000000.0,77,79,75,74,79,71,76,80,84,68,75,72,76
5884,R. García Guerreño,CB,69,69,31,76,Right,183,2021.0,950000.0,85,81,69,70,68,65,66,76,56,47,55,79,33
16458,J. Sonnenberg,CB,59,60,28,67,Right,191,2022.0,210000.0,50,73,58,55,61,60,56,62,53,42,38,57,30
18140,Liu Jiashen,CB,54,54,29,72,Right,190,2022.0,90000.0,66,83,54,51,61,60,50,47,37,25,20,46,15
10520,A. Kovačević,CB,65,65,27,65,Right,189,2023.0,650000.0,70,73,67,64,70,68,66,64,57,42,45,63,33
12617,Han Hee Hoon,"CB, CDM",63,63,30,75,Right,183,2021.0,400000.0,75,79,64,63,66,63,64,69,62,35,32,61,23
792,David García,CB,78,81,27,75,Right,185,2026.0,16000000.0,78,76,78,76,79,81,78,77,67,64,72,82,25
6569,J. Heris,"CB, RB",68,68,30,75,Right,188,2022.0,1000000.0,52,78,68,69,68,66,69,73,52,54,59,69,18
11864,D. Bettella,CB,64,78,21,60,Right,185,2025.0,1400000.0,74,66,66,65,68,68,65,57,56,38,41,66,20
11800,F. Carstens,CB,64,72,22,75,Right,192,2023.0,1200000.0,70,86,63,64,67,61,56,67,54,43,40,65,20
16782,F. Irorere,CB,58,73,19,61,Right,195,2023.0,450000.0,64,69,58,54,63,62,54,53,44,38,40,63,22
9814,Kang Min Soo,CB,65,65,35,69,Right,186,2022.0,190000.0,66,74,65,63,68,68,60,68,50,49,46,69,31
9016,M. Schultz,CB,66,66,28,73,Right,194,2022.0,725000.0,55,86,65,64,67,62,64,70,50,41,54,69,19
10557,M. Osores,CB,65,73,24,68,Right,190,2023.0,1500000.0,70,70,67,66,68,66,69,67,51,44,50,63,28
15547,N. Tauer,"CDM, CB",60,76,20,58,Right,183,2023.0,625000.0,57,56,58,54,63,61,55,65,47,55,63,60,40
1841,Rafael Cachoira,"CB, CDM",75,75,21,77,Right,188,2024.0,6000000.0,54,83,77,82,77,73,75,84,70,58,76,73,42
17341,L. Schmökel,CB,57,68,19,67,Right,196,2023.0,325000.0,68,75,55,54,57,55,54,55,48,45,48,55,25
1836,Duirval Diniz,"CB, RB",75,75,25,74,Right,187,2024.0,5500000.0,77,80,77,76,82,75,72,72,67,55,62,75,52
16835,J. Frommann,"CDM, CB",58,74,18,61,Right,188,2022.0,500000.0,55,66,57,54,62,62,54,61,46,52,61,54,35
13308,N. Tasky,CB,63,63,30,71,Right,194,2022.0,400000.0,68,81,62,59,65,63,59,60,55,42,48,68,30
4275,Marco Baixinho,"CB, CDM",71,71,31,78,Right,186,2022.0,1300000.0,80,82,72,70,75,70,70,75,68,49,63,72,28
4824,J. Giraudon,CB,70,70,29,72,Right,184,2024.0,1300000.0,73,70,71,72,74,70,65,72,61,58,69,72,34
11831,I. Sekigawa,CB,64,74,20,65,Right,182,2022.0,1200000.0,66,70,67,66,69,66,63,60,49,45,63,68,32
9758,D. Kolinger,CB,66,68,27,80,Right,199,2023.0,900000.0,72,90,65,65,66,65,63,79,56,34,41,67,15
3001,N. Phillips,CB,73,79,24,78,Right,190,2025.0,4400000.0,78,82,73,74,75,70,69,80,62,49,58,78,21
1806,H. Moukoudi,CB,75,80,23,80,Right,191,2023.0,7500000.0,56,90,75,75,77,73,74,74,70,51,60,76,27
11732,S. Graves,CB,64,71,22,71,Right,191,2024.0,1100000.0,46,83,64,64,66,60,61,58,60,55,62,64,35
5947,A. Calabresi,"RB, CB",69,73,25,71,Right,186,2024.0,1800000.0,67,75,70,70,72,70,70,69,64,58,48,66,29
557,E. Dier,"CB, CDM",79,80,27,83,Right,190,2024.0,17500000.0,71,91,79,77,80,81,76,88,74,69,75,81,74
15620,M. Montenegro,"CDM, CB",60,66,22,59,Right,181,2023.0,375000.0,56,58,59,58,61,63,54,71,43,55,60,58,42
3157,K. Bartley,CB,72,72,30,81,Right,194,2023.0,1900000.0,61,90,72,72,74,72,69,78,66,49,53,73,20
3247,A. Losilla,"CDM, CM, CB",72,72,35,76,Right,185,2022.0,650000.0,81,75,70,70,70,65,71,67,75,64,68,72,58
17411,Soares,CB,57,66,20,69,Right,186,2022.0,325000.0,75,78,55,54,60,54,53,66,41,34,31,49,23
15850,Guilherme Garutti,CB,60,63,27,79,Right,192,2022.0,275000.0,90,92,56,58,57,52,50,59,47,43,43,63,48
13138,C. Hall,CB,63,65,28,77,Left,193,2024.0,475000.0,65,81,62,62,63,61,61,65,54,40,43,62,21
3263,B. Gibson,CB,72,73,28,68,Left,185,2024.0,2200000.0,76,76,73,73,74,72,73,68,55,49,57,73,28
18715,T. Hallstensen,CB,52,67,19,60,Right,189,2022.0,180000.0,76,66,52,51,56,53,50,52,44,29,22,47,32
13322,João Miguel,CB,63,64,27,70,Right,190,2022.0,475000.0,72,71,63,59,67,62,63,67,58,47,47,63,34
4668,Marc Valiente,CB,70,70,34,72,Right,184,2022.0,525000.0,57,77,71,73,71,68,68,69,67,57,68,70,36
12605,D. Bergqvist,CB,63,65,28,81,Right,185,2021.0,475000.0,75,90,58,56,61,56,53,76,55,50,64,69,31
18444,S. Shotton,CB,53,68,20,59,Right,184,2023.0,210000.0,75,67,53,51,55,54,52,44,47,35,47,50,21
3313,S. Denswil,"CB, LB",72,74,28,73,Left,188,2022.0,2400000.0,53,77,72,73,71,71,72,76,77,66,70,76,64
15865,S. Akaydin,CB,60,62,27,68,Right,190,2024.0,250000.0,69,71,61,63,61,60,54,70,45,34,33,69,28
10375,L. Gordon,CB,65,72,25,75,Right,182,2022.0,1300000.0,88,74,66,66,68,71,61,66,55,39,45,64,26
4714,L. Marrone,"CB, CDM",70,70,31,71,Right,186,2025.0,1100000.0,69,71,70,67,71,68,71,66,73,71,72,72,75
12969,M. Rohr,"CDM, CB",63,65,26,70,Right,193,2022.0,525000.0,33,80,63,62,65,62,63,65,50,51,55,58,18
11897,F. Jäkel,CB,64,75,20,71,Right,194,2022.0,1200000.0,54,80,64,60,66,64,61,70,50,41,39,73,25
16313,L. Olivas,CB,59,68,21,67,Left,184,2025.0,475000.0,71,81,59,61,58,53,58,43,57,48,43,59,45
16822,A. García,CB,58,65,22,58,Right,180,2021.0,375000.0,70,59,61,54,70,64,58,48,44,38,33,59,23
18466,M. Williamsen,CB,53,74,17,51,Right,186,2023.0,275000.0,67,59,54,52,57,56,53,51,45,34,31,50,17
5814,H. Cummings,CB,69,70,29,82,Right,183,2021.0,1300000.0,74,91,67,68,67,62,71,77,51,51,58,65,31
17187,B. Koumetio,CB,57,78,18,60,Left,195,2022.0,500000.0,57,65,58,55,62,59,57,57,50,41,40,54,23
4418,J. Elliott,"CB, CDM",71,74,25,79,Right,196,2021.0,2200000.0,72,78,72,73,73,70,69,75,70,46,69,69,18
13230,Urko González,"CB, CDM, CM",63,76,20,62,Right,189,2026.0,1100000.0,71,66,62,55,68,66,59,56,46,59,68,71,50
16678,N. Zohoré,CB,58,75,20,68,Left,188,2022.0,500000.0,77,74,59,55,62,64,58,54,43,32,35,57,19
10148,Marcelo Djaló,CB,65,68,27,76,Right,193,2022.0,800000.0,78,91,62,62,66,59,60,67,47,47,53,60,28
6114,H. Miyazawa,"CDM, CB, CM",69,69,32,71,Right,182,2022.0,925000.0,50,70,68,69,70,64,66,70,69,66,74,66,55
4986,J. Tverskov,CB,70,71,28,74,Right,185,2023.0,1500000.0,74,78,70,70,73,67,68,65,65,55,65,69,40
71,Thiago Silva,CB,85,85,36,78,Right,183,2022.0,9500000.0,88,82,86,87,86,84,88,76,86,72,80,81,65
16077,J. Wakely,CB,59,71,20,64,Left,194,2023.0,500000.0,66,73,60,56,64,65,59,55,50,42,52,59,36
3925,H. Dean,CB,71,71,29,75,Right,191,2023.0,1600000.0,83,78,71,71,72,66,71,78,68,46,59,72,30
10882,M. Pineda,"CB, CDM",65,74,23,69,Right,185,2022.0,1500000.0,74,71,66,66,68,62,66,63,61,48,64,64,20
8698,N. Cabrera,CB,66,66,38,67,Left,191,2021.0,150000.0,80,76,67,65,70,63,68,60,56,52,49,68,42
6173,N. Milunović,CB,69,69,32,74,Right,193,2023.0,900000.0,71,82,70,69,70,68,70,72,58,43,45,70,27
12729,T. Basila,CB,63,73,22,67,Right,187,2023.0,1000000.0,68,70,63,62,63,62,60,65,57,48,52,68,27
15315,G. Cuomo,CB,60,71,23,61,Right,190,2022.0,500000.0,78,70,61,58,64,64,58,58,58,38,36,60,32
10832,E. Gularte,CB,65,72,23,73,Right,189,2023.0,1300000.0,75,75,64,64,64,60,64,80,58,34,33,64,23
18513,C. Vestergaard,CB,53,67,20,59,Right,193,2024.0,210000.0,68,61,52,51,55,52,52,61,42,34,33,50,21
10847,A. Deneumostier,CB,65,74,22,61,Right,186,2021.0,1500000.0,72,72,67,71,68,68,62,49,54,48,52,63,22
8000,C. Goode,CB,67,72,25,77,Right,196,2024.0,1300000.0,74,82,66,67,66,66,66,69,60,48,55,67,27
13586,F. Rawson,CB,62,67,24,75,Right,193,2022.0,550000.0,68,81,61,62,62,61,60,59,57,44,48,60,25
9620,H. Ortega,CB,66,77,21,70,Right,190,2024.0,1800000.0,83,70,67,62,70,63,70,75,52,42,50,72,21
8817,M. Gollner,"CB, LB",66,66,30,75,Left,184,2022.0,700000.0,71,80,67,68,68,66,65,69,69,44,40,64,29
12802,S. McLoughlin,CB,63,70,24,70,Left,191,2024.0,900000.0,70,74,62,61,64,63,61,63,60,49,55,61,21
5625,M. te Wierik,"CB, RB",69,69,29,73,Right,191,2024.0,1200000.0,68,75,69,70,66,65,74,69,72,59,63,70,53
12314,T. Parkes,CB,63,63,29,76,Left,191,2022.0,400000.0,68,84,62,62,63,62,60,67,58,50,54,60,26
13470,G. Taft,CB,62,63,27,74,Left,191,2023.0,400000.0,70,80,61,60,63,61,59,59,57,49,51,63,30
10181,C. Donaldson,CB,65,68,26,73,Right,188,2022.0,825000.0,82,79,65,65,65,63,60,55,50,38,43,73,22
2801,G. Ferrari,CB,73,74,29,79,Left,189,2023.0,2800000.0,77,77,75,74,76,73,76,75,68,39,62,71,18
12303,P. Downing,CB,63,63,29,72,Right,188,2022.0,400000.0,76,77,63,62,63,61,64,64,53,49,55,63,34
3682,Artur Jorge,CB,72,75,26,75,Right,186,2024.0,2700000.0,77,77,74,77,75,71,72,76,57,46,55,70,34
12329,B. Uaferro,"CB, CDM",63,63,29,71,Right,191,2022.0,400000.0,65,84,62,61,63,60,59,61,59,54,59,66,39
2077,J. Stephens,CB,74,76,27,73,Right,185,2022.0,4500000.0,67,78,76,76,78,72,75,68,64,61,67,75,42
12784,L. Gibson,"CB, LB",63,76,20,61,Left,185,2022.0,1100000.0,72,65,64,64,66,63,65,59,68,48,50,58,30
13415,M. Ellis,CB,62,62,32,66,Right,188,2023.0,250000.0,77,73,62,62,62,59,62,64,56,43,50,61,23
12256,J. Wilson,CB,63,63,32,74,Right,189,2022.0,300000.0,34,83,63,63,63,64,64,70,48,50,55,60,37
1254,Pablo Marí,CB,76,78,27,80,Left,193,2024.0,8000000.0,75,86,76,76,77,73,74,80,71,51,65,82,40
16551,A. Karo,CB,58,65,24,66,Right,190,2024.0,375000.0,68,69,57,55,62,60,52,55,40,37,36,58,17
8219,Renê Santos,"CB, CDM",67,68,29,78,Right,184,2023.0,950000.0,76,79,66,64,68,67,68,82,59,51,54,57,40
9643,B. Velarde,CB,66,70,22,71,Right,180,2022.0,1100000.0,74,75,65,63,64,65,66,59,53,44,33,69,24
3537,F. Sierralta,CB,72,78,24,76,Right,190,2023.0,3400000.0,80,85,70,73,67,70,72,79,52,50,45,67,25
18904,T. Gray,"CB, RB, CDM",51,71,18,59,Right,180,2025.0,150000.0,71,58,52,52,56,49,53,49,40,29,20,43,21
15956,D. Massey,"CB, LB",59,59,33,69,Left,183,2021.0,110000.0,71,70,57,58,57,57,56,62,56,58,58,59,54
8286,Chumi,CB,67,78,22,67,Right,186,2022.0,2100000.0,78,70,67,68,69,67,66,67,62,49,50,63,36
16252,F. Otto,CB,59,75,19,61,Right,192,2022.0,550000.0,63,68,60,55,66,65,56,52,45,43,54,61,27
8931,T. Meißner,CB,66,66,30,73,Right,191,2024.0,700000.0,52,82,66,67,67,61,65,67,62,44,51,70,38
13696,S. Johansen,CB,62,67,25,73,Right,190,2024.0,525000.0,85,80,62,62,63,65,64,60,55,29,30,52,24
18005,M. Al Rubaie,CB,55,58,25,70,Right,182,2023.0,150000.0,66,82,55,54,58,55,53,47,35,30,30,51,21
14528,F. Lach,"CB, RB, CDM",61,68,24,66,Right,190,2022.0,600000.0,74,78,61,60,64,59,58,46,56,42,48,62,26
5498,A. Bodzek,"CDM, CM, CB",69,69,35,72,Right,184,2022.0,400000.0,81,76,71,72,73,70,73,68,71,61,66,61,59
14602,D. Volkmer,CB,61,66,25,72,Left,194,2022.0,425000.0,32,87,59,59,60,58,53,70,60,46,52,64,27
3453,M. Clarke,CB,72,76,24,81,Left,185,2022.0,3000000.0,73,86,72,72,72,70,70,78,74,54,60,73,33
12385,Lee Han Saim,"CB, CDM, CM",63,63,31,71,Right,185,2022.0,325000.0,72,75,60,61,59,58,61,70,64,60,61,63,50
8978,Alan Costa,CB,66,66,30,77,Right,194,2026.0,700000.0,71,83,65,55,69,67,68,72,59,45,36,72,22
2739,J. Cooper,CB,73,76,26,78,Left,199,2024.0,3500000.0,83,83,73,76,70,71,72,69,53,48,60,81,22
8979,D. Erdmann,"CB, CDM",66,66,30,86,Right,189,2023.0,700000.0,73,85,61,62,62,63,59,93,59,49,54,60,30
12691,B. Chorbadzhiyski,CB,63,65,25,71,Right,195,2022.0,525000.0,68,78,63,63,63,63,63,62,58,40,48,64,26
15372,B. Goodliffe,CB,60,68,22,73,Right,192,2022.0,525000.0,53,83,60,60,60,59,58,63,49,41,43,60,21
3358,A. Semenov,CB,72,72,32,74,Right,190,2031.0,2850451.813201148,78,81,73,69,78,74,76,55,66,57,69,63,35
11476,S. Reese,CB,64,65,27,71,Left,186,2021.0,600000.0,70,77,64,63,65,63,61,64,55,49,57,67,35
15334,S. Bone,"CB, RB",60,66,22,71,Right,183,2021.0,350000.0,63,77,58,58,61,60,53,65,42,51,55,58,54
10584,L. Recalde,CB,65,69,25,67,Left,185,2021.0,900000.0,74,69,67,65,72,67,62,55,51,41,45,64,27
10586,C. Klarer,CB,65,76,21,68,Right,191,2024.0,1500000.0,67,78,65,61,72,62,63,59,56,47,57,64,29
18500,Yang Yiming,"ST, CB",53,56,26,68,Right,193,2021.0,120000.0,61,80,25,19,19,22,22,51,48,36,28,66,51
11309,A. Robles,CB,64,66,27,75,Right,182,2024.0,625000.0,75,84,62,62,62,63,62,64,58,55,65,59,35
10737,L. Filip,"CDM, CB",65,65,30,68,Left,184,2022.0,600000.0,65,73,66,64,66,66,67,66,60,58,64,65,56
1938,Vítor Tormena,"CB, RB",75,78,25,77,Right,192,2024.0,6500000.0,32,86,77,80,77,76,74,74,73,58,63,77,32
7690,P. Papp,"CB, RB",67,67,31,71,Right,188,2023.0,700000.0,70,79,66,66,66,64,65,64,71,57,63,74,48
13944,A. Dobrosavlevici,CB,62,65,26,71,Right,185,2023.0,450000.0,70,75,61,60,63,62,57,73,45,34,36,64,26
13378,A. Scarlatache,"CB, RB",62,62,34,74,Right,184,2022.0,130000.0,71,79,61,62,61,60,59,61,58,53,52,58,22
17188,R. Akbib,CB,57,71,20,60,Right,180,2022.0,375000.0,55,70,56,53,61,60,53,59,45,42,53,56,28
8133,Dinis Almeida,CB,67,69,26,62,Right,190,2024.0,1100000.0,69,63,71,66,73,67,74,62,58,43,58,74,31
10206,L. Jäger,"CDM, CB, CM",65,67,27,74,Right,184,2022.0,775000.0,77,75,65,66,65,64,67,71,58,54,60,62,52
6066,T. McIntyre,"CB, LB, CDM",69,77,22,71,Left,185,2024.0,2900000.0,88,67,68,65,69,69,69,80,65,54,64,69,24
17201,K. Kamiya,"CB, CDM",57,63,24,66,Right,183,2022.0,240000.0,66,76,55,51,62,57,48,61,39,40,39,56,30
12805,L. Kramer,CB,63,72,21,73,Right,192,2022.0,1000000.0,50,82,62,60,65,62,59,62,52,47,58,65,28
18784,K. Stokes,CB,52,67,18,57,Right,182,2023.0,170000.0,64,61,53,52,58,54,48,49,35,35,41,48,17
4663,O. Merlo,CB,70,70,35,75,Right,185,2023.0,425000.0,68,81,68,62,71,66,71,78,57,51,46,76,36
6035,J. Glesnes,CB,69,72,27,78,Right,188,2021.0,1600000.0,82,83,67,66,69,66,68,73,65,56,67,65,76
12005,K. Tobers,"CB, CDM",64,70,20,71,Right,189,2023.0,825000.0,74,75,64,65,65,61,64,66,54,51,57,56,44
6307,Riccieli,CB,69,79,22,74,Right,184,2024.0,2900000.0,89,74,69,67,72,74,68,74,62,49,39,64,27
2955,E. Cabaco,CB,73,78,26,76,Right,186,2024.0,4000000.0,78,76,74,76,74,75,73,87,66,48,61,73,34
8217,Tachi,"CB, RB",67,76,23,58,Right,184,2023.0,2100000.0,68,65,68,63,71,70,64,66,52,46,41,75,25
6130,Lucas Possignolo,CB,69,72,27,72,Right,188,2024.0,1600000.0,87,72,69,68,73,67,68,73,58,44,45,66,20
13868,R. Lamie,"CB, LB",62,62,28,73,Left,188,2022.0,350000.0,68,77,60,58,61,60,59,66,50,50,50,67,24
13595,Bi Jinhao,"ST, CB",62,62,30,72,Right,190,2022.0,400000.0,64,81,57,44,62,66,62,58,58,56,58,66,51
6155,R. Porteous,CB,69,76,22,80,Right,188,2023.0,2600000.0,83,80,67,64,68,69,67,83,56,51,56,72,19
9511,Gonçalo Cardoso,CB,66,77,20,73,Left,189,2022.0,1800000.0,71,79,65,62,69,66,61,72,62,38,36,66,28
16050,Li Peng,CB,59,59,30,75,Right,187,2021.0,180000.0,63,77,59,63,59,60,55,59,47,42,50,53,22
13623,L. Jackson,"CB, LB",62,62,26,77,Left,196,2022.0,375000.0,89,88,62,65,64,62,54,54,55,37,39,64,25
6168,Nolaskoain,"CM, CB",69,76,22,70,Right,186,2024.0,2800000.0,72,74,70,70,72,66,68,61,70,65,70,71,56
4924,W. Ángel,CB,70,72,28,78,Right,188,2022.0,1600000.0,70,87,70,71,70,71,68,77,63,44,50,70,37
12419,A. Winkler,"CB, LB",63,63,29,75,Left,190,2022.0,400000.0,71,83,62,61,65,63,55,74,58,46,58,64,25
16049,K. Jameson,CB,59,65,22,66,Left,183,2022.0,325000.0,75,73,59,59,60,59,59,54,48,40,42,58,22
11866,M. McGuinness,CB,64,76,20,69,Right,194,2024.0,1300000.0,70,77,64,64,65,64,63,57,54,46,52,62,28
4747,Fran Vélez,"CB, CDM",70,70,30,78,Right,182,2022.0,1300000.0,76,82,68,66,71,72,69,73,68,63,65,63,37
12415,Y. Takahashi,CB,63,63,28,73,Right,187,2022.0,425000.0,31,84,64,64,65,60,62,59,55,48,52,67,29
7660,E. Bergström,CB,67,68,28,75,Right,188,2022.0,975000.0,76,82,67,68,66,65,65,66,69,45,60,69,48
5144,Léo Duarte,CB,70,77,24,71,Right,183,2022.0,3000000.0,90,72,73,74,74,72,73,77,73,36,32,64,27
8287,R. Atkinson,CB,67,73,22,78,Left,193,2024.0,1500000.0,36,86,68,68,68,66,66,70,63,48,56,69,25
5009,Ygor Nogueira,CB,70,72,26,78,Right,186,2022.0,1700000.0,82,81,70,68,72,67,69,76,63,45,49,71,23
11904,J. Tunnicliffe,CB,64,66,27,78,Right,186,2022.0,625000.0,73,82,63,64,64,62,62,66,58,45,57,64,22
13738,T. Yamashita,CB,62,62,33,64,Right,182,2022.0,190000.0,81,72,63,60,64,62,65,42,54,46,50,67,21
13727,I. Tapia,"CB, RB, LB",62,74,22,69,Right,188,2022.0,925000.0,72,75,62,62,60,60,65,58,48,38,36,62,23
15849,M. Świdzikowski,CB,60,60,31,67,Right,182,2022.0,170000.0,44,71,59,57,62,58,58,55,55,46,57,63,30
7685,M. Zeitz,"CDM, CB",67,67,30,74,Right,181,2022.0,850000.0,74,71,66,66,66,67,65,71,64,58,64,65,59
4818,A. Mawson,CB,70,73,27,70,Right,189,2022.0,1800000.0,75,80,71,72,70,71,70,64,68,49,67,75,21
6399,Guilherme Ramos,CB,69,76,23,74,Right,191,2025.0,2600000.0,67,79,69,68,70,67,68,77,67,46,51,69,28
4896,J. Czerwiński,CB,70,70,29,81,Right,183,2023.0,1300000.0,89,84,70,70,70,69,70,77,64,44,58,68,22
907,G. Pezzella,CB,77,77,30,73,Right,186,2025.0,8500000.0,81,77,79,78,81,77,78,79,72,47,56,80,50
8237,K. Dabila,CB,67,73,24,67,Right,183,2023.0,1500000.0,69,69,69,67,71,70,69,67,62,47,48,65,27
16085,Luo Hao,"CB, CDM",59,64,26,67,Right,188,2022.0,300000.0,74,70,59,68,55,55,55,61,45,45,48,55,30
7308,P. Bardy,CB,68,69,28,66,Right,182,2023.0,1100000.0,72,65,70,71,71,66,68,62,68,46,55,70,17
1182,A. Dragović,"CB, RB",76,76,30,76,Right,186,2031.0,2850451.813201148,78,80,77,77,78,76,78,80,73,63,74,75,53
16638,A. Grijalva,CB,58,72,20,58,Right,177,2024.0,450000.0,70,54,61,54,66,68,55,62,40,31,30,69,20
14775,S. Chergui,"CDM, RB, CB",61,70,22,59,Right,183,2022.0,700000.0,70,62,57,55,61,57,58,61,60,59,65,50,44
12884,A. Gürleyen,CB,63,72,22,78,Right,193,2023.0,1000000.0,71,90,59,58,60,57,58,78,43,46,55,63,34
10791,B. Fazliji,"CB, CDM",65,73,22,75,Right,186,2023.0,1500000.0,74,76,64,64,66,65,63,74,54,53,56,60,34
15311,M. Massop,"LB, CB",60,60,27,61,Left,183,2022.0,240000.0,67,65,61,62,60,60,59,65,62,53,52,63,25
14813,A. Matos,CB,61,66,25,64,Right,183,2022.0,425000.0,79,73,62,61,64,62,60,50,60,38,23,64,18
15288,T. Uskok,"CB, CDM, CM",60,60,30,66,Right,196,2023.0,200000.0,67,68,61,57,64,63,64,67,47,37,41,59,16
15286,M. Watson,CB,60,65,25,66,Right,186,2021.0,325000.0,75,71,60,62,60,57,60,63,42,41,51,53,24
14680,J. Rieckmann,"CB, CDM",61,73,20,66,Right,186,2023.0,750000.0,79,72,60,57,62,54,64,53,55,48,57,64,35
5738,Pol García,"CB, LB",69,73,26,69,Left,185,2021.0,1700000.0,75,68,70,68,70,71,70,71,66,65,67,70,37
14513,G. Timotheou,CB,61,66,23,72,Left,187,2022.0,450000.0,55,90,59,60,61,60,56,63,55,44,51,55,39
11458,M. Nakkim,CB,64,71,24,72,Right,187,2022.0,1100000.0,70,75,63,59,65,61,64,70,62,47,52,64,32
10628,M. Nottingham,"CB, RWB",65,65,32,72,Right,193,2023.0,475000.0,63,80,64,64,65,63,63,65,53,49,48,64,20
19079,C. Teale,CB,50,62,18,54,Right,185,2023.0,100000.0,52,54,51,51,50,49,52,55,42,37,34,52,21
17577,W. Forrester,CB,56,70,20,59,Right,180,2022.0,325000.0,76,62,56,51,59,58,58,52,43,30,31,57,19
17578,N. Slonina,CB,56,72,20,72,Right,191,2021.0,350000.0,68,84,53,54,55,53,50,54,43,35,44,53,16
5521,G. Bellusci,CB,69,69,31,72,Right,184,2022.0,950000.0,54,70,70,70,71,70,68,89,66,58,63,66,59
14601,E. Mašović,"CDM, CB",61,71,22,64,Right,189,2023.0,700000.0,54,67,61,60,63,61,59,66,49,46,57,64,26
6821,B. Tuiloma,"CB, CDM, RB",68,73,26,75,Right,183,2021.0,1600000.0,71,81,68,70,68,68,68,65,63,62,68,62,39
13258,N. Iribarren,CB,63,63,33,67,Right,182,2021.0,230000.0,66,69,63,62,67,64,57,74,50,44,48,65,33
3480,R. Dickie,CB,72,77,25,77,Right,195,2024.0,3100000.0,80,83,72,72,73,74,73,67,63,51,56,69,59
12747,M. Fritz,"CB, CDM",63,64,27,76,Right,192,2022.0,475000.0,60,84,61,62,64,58,55,67,58,48,56,62,40
19155,Luo Junhan,CB,49,65,17,52,Right,180,2023.0,110000.0,59,50,51,53,50,51,53,48,35,28,25,47,20
14942,B. Sartiaguin,CB,61,70,21,62,Right,185,2021.0,700000.0,68,63,65,65,65,60,68,55,48,38,36,65,21
7051,J. Dunne,CB,68,73,23,66,Right,188,2024.0,1600000.0,70,71,69,68,72,69,66,59,68,50,62,73,28
1269,Dória,CB,76,79,26,85,Left,188,2025.0,8500000.0,82,91,75,75,76,73,73,84,70,59,63,77,67
669,L. Koscielny,CB,78,78,35,75,Right,186,2022.0,3700000.0,82,77,79,79,79,78,79,81,74,63,72,77,47
16495,J. Smith,"CDM, CB, CM",59,74,18,63,Right,188,2022.0,500000.0,56,68,58,54,63,60,52,63,52,53,58,60,31
15084,C. Ezekwem,CB,61,67,22,74,Right,202,2023.0,475000.0,36,92,60,61,62,52,59,54,51,40,41,65,17
