,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,defending,passing,physic,attacking_volleys,skill_long_passing,movement_agility,power_shot_power,power_jumping,power_strength,mentality_aggression,mentality_interceptions,defending_standing_tackle,defending_sliding_tackle,height_cm
13204,A. Bahachille,"CM, CDM, CB",63,76,1200000.0,500.0,20,2022.0,60,60,66,34,65,58,48,66,70,55,62,63,60,193
19234,Song Defu,CDM,47,52,70000.0,1000.0,22,2021.0,42,46,49,30,48,55,46,62,46,52,42,43,48,180
16585,C. Zuvela,"CDM, CM",58,64,300000.0,1000.0,24,2022.0,53,53,71,34,57,67,51,79,76,57,53,55,52,179
2359,P. Struijk,"CB, CDM",74,83,9000000.0,38000.0,21,2024.0,75,60,73,34,72,49,62,73,75,75,76,76,72,190
9730,Terrats,"CDM, CM",66,80,1900000.0,2000.0,20,2024.0,64,61,67,40,65,60,59,61,71,65,59,69,67,180
699,A. Westwood,"CDM, CM",78,78,10000000.0,36000.0,31,2023.0,74,80,75,56,79,74,76,67,68,81,76,76,73,175
9479,R. Ljubicic,"CM, LWB, CDM",66,75,1900000.0,6000.0,21,2024.0,61,65,68,44,64,67,64,66,66,70,69,63,59,178
8183,H. Mancilla,"CDM, CM",67,67,875000.0,6000.0,29,2022.0,62,61,75,31,71,60,49,76,71,63,65,64,60,174
8794,M. Chrapek,"CAM, CDM",66,66,850000.0,3000.0,29,2022.0,63,64,58,42,64,79,59,77,60,58,62,69,63,177
4785,J. Ščuk,"CDM, CM",70,70,1300000.0,8000.0,30,2022.0,68,67,68,42,71,69,73,69,67,66,65,69,68,184
2159,N. Domínguez,"CB, CDM",74,74,2900000.0,15000.0,31,2021.0,74,70,74,43,75,67,77,69,80,67,74,75,74,183
8221,D. Wiebe,"RB, CB, CDM",67,68,1100000.0,3000.0,27,2024.0,66,63,72,39,66,65,60,59,73,62,70,68,62,187
15886,Y. M'Bemba,"CB, CDM",60,70,500000.0,3000.0,20,2024.0,58,46,65,29,46,43,42,65,76,62,51,63,62,195
11928,P. Vroegh,"CM, CDM",64,75,1300000.0,3000.0,21,2023.0,56,63,58,50,67,67,64,56,56,58,54,61,55,175
13192,Á. Cayetano,"CDM, CM, CB",63,63,400000.0,500.0,30,2023.0,62,52,71,30,55,57,40,53,83,55,60,66,57,188
9927,S. Suciu,"CM, CDM",65,65,575000.0,2000.0,31,2022.0,62,63,74,55,65,73,64,55,75,65,61,63,62,184
11083,A. Grant,"CDM, CM, CB",64,64,200000.0,4000.0,34,2022.0,61,58,77,49,59,68,58,63,81,73,62,62,60,178
6270,C. Oliva,"CM, CDM",69,73,1900000.0,14000.0,25,2023.0,69,68,66,43,69,70,74,53,67,75,70,72,68,178
16082,Ma Xingyu,"CM, CDM",59,59,180000.0,2000.0,31,2021.0,61,52,68,30,56,57,54,62,68,64,66,68,60,181
9918,C. Warner,"CDM, CM",65,65,350000.0,2000.0,33,2025.0,61,61,71,58,63,69,74,77,70,75,67,53,50,178
5126,C. Rivera,"CDM, CM, CAM",70,75,2100000.0,11000.0,25,2022.0,67,63,71,39,65,67,70,54,75,65,69,69,66,184
2121,M. Prietl,"CDM, CM, CB",74,74,3600000.0,21000.0,29,2024.0,72,62,79,35,65,63,53,53,76,77,72,73,71,187
14453,M. Al Qarni,"CDM, CM",61,61,230000.0,3000.0,31,2025.0,59,53,68,36,56,71,57,60,70,66,64,61,58,180
8602,R. Cristóbal,CDM,67,74,1900000.0,500.0,25,2021.0,64,58,65,30,72,46,45,65,70,56,69,69,55,182
14475,A. Kenyon,CDM,61,61,300000.0,3000.0,28,2022.0,57,54,75,36,59,67,54,82,76,62,57,62,57,182
7133,O. Kiomourtzoglou,"CDM, CM",68,73,1700000.0,3000.0,23,2023.0,67,55,78,36,60,64,59,85,79,75,74,67,64,188
15100,Markel Lozano,"CM, CDM, CB",61,65,450000.0,1000.0,25,2022.0,60,61,69,34,67,56,48,64,74,58,59,61,61,189
17462,V. Rai,CDM,56,64,300000.0,500.0,23,2023.0,53,50,68,35,57,55,45,72,66,51,53,53,50,182
3715,Pêpê,"CDM, CM",72,77,3200000.0,800.0,24,2022.0,66,70,71,55,80,62,73,71,67,68,67,65,61,183
743,J. Hector,"CDM, LB",78,78,10000000.0,28000.0,31,2023.0,76,75,75,51,75,68,69,80,74,74,76,78,77,185
3720,E. Rexhbeçaj,"CM, CDM, CAM",72,76,3300000.0,32000.0,23,2022.0,64,70,68,50,74,70,76,58,60,74,60,67,64,182
12825,D. Kaneko,"CDM, CM",63,69,700000.0,2000.0,22,2022.0,58,60,61,49,62,65,61,72,60,48,66,56,49,177
7112,H. Mae,"CDM, CM",68,70,1400000.0,2000.0,25,2022.0,66,64,63,67,67,59,53,59,58,64,69,67,63,173
7943,D. Louiserre,"CDM, CM",67,70,1200000.0,2000.0,26,2022.0,62,67,65,61,65,79,70,68,60,63,62,67,62,172
1285,R. Andrich,"CM, CDM",76,78,9000000.0,44000.0,26,2026.0,73,76,82,66,77,59,83,81,82,77,75,76,73,187
3800,L. Takács,"CB, CDM",72,76,3000000.0,600.0,24,2022.0,72,58,78,54,66,51,72,57,88,75,72,73,70,190
606,J. Weigl,"CM, CDM",79,82,23000000.0,16000.0,25,2024.0,80,75,75,57,82,76,48,68,68,83,80,82,80,186
14670,O. Otasowie,"CDM, CB, CM",61,77,825000.0,3000.0,20,2025.0,57,57,67,38,61,56,50,58,72,62,55,61,61,191
6830,Kim Do Hyeok,"CM, CDM",68,68,1200000.0,3000.0,29,2022.0,57,67,76,50,66,75,65,72,72,69,65,59,55,173
18014,J. Hodge,"CDM, CM",55,72,300000.0,2000.0,18,2024.0,48,54,58,37,55,69,56,56,57,67,46,52,50,177
16565,S. Pasquali,"CM, CDM",58,70,500000.0,500.0,21,2022.0,54,59,56,36,58,66,47,49,57,51,50,54,51,176
140,Fernandinho,"CDM, CB",83,83,7000000.0,100000.0,36,2022.0,84,75,75,70,81,69,83,84,75,86,85,85,80,179
3499,K. Bielik,"CDM, CB",72,80,4900000.0,9000.0,23,2024.0,71,64,74,46,73,65,62,65,79,73,73,71,67,194
10766,S. Köhler,"CM, CDM",65,69,1000000.0,1000.0,24,2023.0,62,61,71,41,67,65,70,76,73,56,61,65,62,185
9965,J. Scowen,"CM, CDM",65,65,725000.0,3000.0,28,2023.0,65,63,71,49,65,75,63,90,63,76,65,66,65,178
6915,M. Christiansen,"CDM, CM",68,73,1700000.0,8000.0,24,2023.0,64,63,77,39,64,63,64,73,78,71,67,65,62,185
5563,E. Hussain,CDM,69,70,1300000.0,4000.0,28,2022.0,62,66,66,62,68,76,69,49,57,71,66,62,69,176
2504,A. N'Diaye,CDM,73,73,2100000.0,24000.0,31,2022.0,71,65,86,46,67,66,74,69,90,82,74,71,71,189
15362,C. Coventry,"CM, CDM",60,74,600000.0,7000.0,21,2022.0,52,58,60,41,63,68,52,58,50,66,52,57,49,175
1444,Gonzalo Villar,"CM, CDM",76,83,15000000.0,39000.0,23,2024.0,71,75,72,49,75,76,63,56,68,80,72,74,68,181
1252,J. Ferri,"CDM, CM",76,76,6500000.0,24000.0,29,2023.0,69,74,75,56,78,70,77,66,70,85,71,71,67,173
1131,A. Musrati,"CDM, CM",77,81,13500000.0,14000.0,25,2022.0,74,68,82,42,78,56,72,61,87,77,78,76,72,189
1352,L. Tousart,"CDM, CM",76,81,10500000.0,31000.0,24,2025.0,77,65,82,43,74,59,79,80,81,81,78,78,74,185
16533,Zhang Li,"CM, CDM",58,58,170000.0,2000.0,31,2021.0,61,57,62,37,53,69,47,88,56,66,51,64,61,172
14527,T. Baack,"CDM, CB, RB",61,70,700000.0,2000.0,22,2022.0,61,53,66,36,58,68,46,83,70,59,58,60,59,183
1261,Gabriel,"CM, CDM",76,77,8500000.0,14000.0,27,2024.0,75,74,80,67,76,65,82,80,81,81,75,74,71,187
16527,Li Guangwen,"CDM, CM",58,58,170000.0,2000.0,30,2022.0,59,47,61,28,42,74,54,71,57,65,58,59,58,175
18035,R. Aguilera,"CDM, CM",55,65,275000.0,850.0,21,2021.0,50,50,57,31,57,60,45,63,55,58,51,53,51,177
15230,Lü Peng,"CDM, CM",60,60,170000.0,2000.0,31,2022.0,62,53,64,32,55,69,46,65,66,65,63,63,62,182
8631,N. Kvekveskiri,"CM, CDM",67,67,1000000.0,4000.0,29,2023.0,62,67,61,45,69,63,69,56,60,48,62,64,61,184
14578,K. Al Samiri,"CM, CDM, RM",61,66,500000.0,6000.0,24,2023.0,59,61,56,50,64,74,50,56,50,61,58,57,58,168
5522,H. Arter,"CDM, CM",69,69,975000.0,20000.0,31,2022.0,65,68,70,63,69,69,79,68,68,81,64,71,68,176
11404,S. Friðjónsson,"CM, CDM, CAM",64,69,850000.0,1000.0,25,2022.0,58,62,75,62,66,64,71,62,75,70,55,59,55,186
17740,A. Al Jowayed,CDM,56,58,160000.0,3000.0,26,2024.0,55,51,58,24,53,54,41,60,59,51,56,56,52,175
1239,F. Fajr,"CM, CDM, RM",76,76,6000000.0,19000.0,32,2022.0,67,78,69,62,80,73,76,33,67,69,72,69,68,179
16240,H. Al Shamrani,"CB, CDM",59,59,190000.0,3000.0,29,2025.0,58,44,66,29,45,49,37,67,71,59,56,58,60,184
4715,M. Paniagua,"CDM, CB, CM",70,70,550000.0,500.0,34,2021.0,68,65,68,43,73,57,54,65,82,44,74,78,70,180
1887,H. Maïga,"CDM, CM",75,78,6500000.0,16000.0,25,2024.0,71,67,86,40,71,60,71,75,87,82,71,73,70,181
4780,Sin Jin Ho,"CDM, CM",70,70,1100000.0,5000.0,32,2022.0,63,72,74,51,71,63,66,57,72,70,70,63,56,177
9451,L. Dietz,"CB, CDM",66,72,1200000.0,2000.0,24,2023.0,66,53,69,34,59,52,56,50,74,64,66,68,63,190
15920,A. Tsoungui,"CB, CDM",60,77,600000.0,2000.0,18,2022.0,60,34,67,28,28,47,50,71,77,54,60,67,69,185
13238,G. Gordillo,"CB, CDM",63,65,525000.0,500.0,26,2021.0,64,53,64,35,60,40,38,70,68,55,61,65,62,187
4855,A. Meleán,"CB, CDM, CM",70,70,525000.0,650.0,34,2021.0,70,58,69,17,60,32,73,72,72,68,70,73,70,183
7633,K. Drygas,"CDM, CM",67,67,875000.0,3000.0,29,2022.0,65,65,73,61,63,68,69,70,72,78,66,66,63,184
10322,Bernard Alemão,CDM,65,65,600000.0,4000.0,29,2024.0,68,48,77,45,71,62,62,70,76,84,71,71,55,186
7544,J. Bostock,"CDM, CM",67,67,875000.0,5000.0,29,2022.0,62,68,74,46,68,68,70,73,79,71,63,66,64,188
8406,A. Derviševič,"CM, CDM",67,67,1000000.0,1000.0,28,2022.0,54,73,72,55,76,63,71,56,85,69,58,51,48,195
13063,Bubacar Djaló,"CDM, CM",63,71,1000000.0,500.0,24,2022.0,62,48,73,32,57,55,47,70,78,61,64,65,59,188
13125,L. Jürgensen,"CB, CDM",63,69,700000.0,500.0,23,2022.0,62,43,72,20,48,53,37,67,81,65,58,64,56,190
9360,D. Hägele,"CDM, CB",66,66,575000.0,3000.0,32,2023.0,61,63,73,47,67,64,65,78,76,67,66,62,60,186
6078,M. Saadane,"CB, CDM",69,70,1300000.0,13000.0,29,2022.0,66,59,81,38,67,63,61,75,82,75,66,69,68,187
18785,G. Asomani,"CDM, CM",52,64,190000.0,1000.0,22,2021.0,49,47,47,28,51,68,37,56,37,53,49,48,47,168
16254,M. Ramusović,CDM,59,67,475000.0,2000.0,20,2022.0,58,56,61,38,58,59,59,56,63,59,54,63,61,184
8186,C. Durkin,"CM, CDM, RM",67,76,2300000.0,4000.0,21,2023.0,65,66,69,48,66,50,63,76,63,69,70,65,57,182
16920,D. Toma,"CM, CDM, RM",58,69,450000.0,800.0,21,2022.0,48,53,53,46,63,67,59,52,47,47,53,49,44,176
2782,H. Arslan,"CM, CDM",73,73,2400000.0,15000.0,32,2024.0,70,67,78,53,64,69,74,77,76,71,69,73,69,186
2115,Omar Mascarell,"CDM, CM",74,74,3700000.0,17000.0,28,2025.0,70,67,72,54,78,75,72,74,71,66,74,72,67,181
5162,S. Memišević,"CDM, CB",70,70,1500000.0,8000.0,27,2022.0,69,54,86,20,63,43,75,90,86,82,76,65,61,186
9660,M. Rabuñal,CDM,66,69,975000.0,5000.0,27,2021.0,65,58,69,33,65,54,57,62,72,64,67,63,63,184
7777,R. Yalçın,"CB, CDM",67,70,1200000.0,6000.0,27,2022.0,68,63,68,45,67,65,59,81,71,59,68,69,67,183
8273,S. Oum Gouet,"CDM, CM",67,74,1900000.0,4000.0,23,2024.0,63,64,75,41,63,62,70,59,82,57,65,64,61,185
10271,M. Poletanović,"CM, CDM",65,65,750000.0,3000.0,27,2022.0,61,65,71,63,65,62,68,70,71,65,64,59,56,187
18800,J. Ramírez,CDM,52,59,150000.0,500.0,21,2025.0,44,49,62,30,45,51,46,60,60,59,41,42,54,173
13282,G. Sangaré,"CDM, CM",63,69,700000.0,1000.0,24,2023.0,63,49,59,32,57,53,42,55,58,81,62,69,68,180
16846,T. Rapnouil,"CDM, LB, LM",58,69,425000.0,900.0,20,2024.0,57,56,58,32,54,57,61,62,64,57,57,56,55,188
10253,R. Castro,"CDM, CM",65,65,500000.0,500.0,31,2021.0,65,58,51,31,63,60,46,64,31,58,70,60,57,181
2706,R. Loaiza,"CDM, CM",73,73,2900000.0,12000.0,27,2022.0,70,66,77,35,67,59,67,80,73,83,70,71,68,180
12430,Z. Sami,"CDM, CM",63,63,425000.0,3000.0,28,2022.0,60,54,79,36,56,53,57,83,80,74,60,60,56,186
16855,E. Ruiz,"CB, CDM",58,71,450000.0,500.0,18,2024.0,57,42,59,30,40,55,30,61,57,60,58,60,57,168
13571,S. Ohlsson,"CB, CDM",62,64,400000.0,800.0,28,2022.0,61,62,71,54,66,56,63,55,76,61,66,59,57,186
8110,S. Field,"CM, CDM",67,75,2300000.0,6000.0,23,2024.0,64,65,65,47,75,59,68,58,61,63,63,66,63,185
8126,L. Samson,"CB, CDM, CM",67,69,1100000.0,2000.0,25,2023.0,67,56,73,22,62,55,40,45,78,72,67,68,63,190
14080,T. Takamine,"CM, CDM, CB",62,67,600000.0,1000.0,23,2022.0,58,59,67,41,64,64,65,60,71,66,58,64,60,177
15617,J. Espinoza,"CDM, CM",60,70,500000.0,500.0,20,2025.0,59,56,57,30,62,59,42,58,57,55,57,62,58,169
7438,Á. Brun,"CM, CDM",68,68,550000.0,500.0,34,2021.0,61,61,65,30,68,58,44,57,70,55,67,73,60,186
14192,J. Castillo,"CDM, CM",62,76,900000.0,500.0,20,2021.0,57,55,69,31,66,52,60,61,75,56,57,66,63,185
14307,M. Kaput,"CDM, CM",62,67,550000.0,800.0,23,2022.0,58,57,64,37,63,57,49,55,68,57,61,58,56,185
13022,C. Montaña,CDM,63,71,1000000.0,500.0,23,2023.0,58,53,72,37,59,61,31,69,72,68,59,63,60,173
15610,P. Justiniano,CDM,60,70,525000.0,500.0,21,2021.0,60,51,59,38,55,60,41,49,60,51,60,60,60,165
14297,Iker Bilbao,"CM, CDM",62,66,550000.0,2000.0,25,2022.0,55,63,66,48,67,56,63,73,64,65,53,52,60,182
11695,M. Ortiz,"CB, CDM",64,64,400000.0,500.0,31,2021.0,68,47,64,30,62,48,39,66,70,49,62,70,68,180
9129,N. Besler,"CDM, CB",66,67,825000.0,2000.0,28,2022.0,64,58,73,35,65,59,50,76,76,69,64,66,60,185
18139,Cui Ming'an,"CM, CDM",54,57,140000.0,2000.0,26,2022.0,52,56,63,38,59,66,60,55,69,50,53,52,49,180
4432,A. Cervantes,"CDM, CM",71,80,3900000.0,11000.0,23,2022.0,67,65,72,42,70,65,57,67,71,65,69,70,66,181
14284,A. Richardson,CDM,62,73,800000.0,850.0,19,2024.0,56,57,64,36,60,65,51,63,64,59,60,58,51,190
16406,A. Al Hurabi,"CDM, CM",59,64,300000.0,3000.0,24,2025.0,58,51,57,31,55,53,46,62,56,51,58,60,57,176
12580,Hélder Tavares,"CDM, CM",63,63,325000.0,1000.0,31,2022.0,61,58,67,50,60,67,66,59,65,67,61,63,61,178
9274,B. Piñatares,"CDM, CM",66,66,600000.0,500.0,31,2022.0,62,60,68,53,66,67,66,40,72,53,65,66,63,183
9097,Li Ang,"CB, CDM",66,66,800000.0,6000.0,27,2022.0,64,64,78,57,67,59,72,85,84,64,64,64,64,188
17264,I. Al Barakah,CDM,57,62,230000.0,3000.0,24,2022.0,54,54,56,33,58,56,45,57,58,64,55,56,54,185
17364,E. Mirchev,"CDM, CB",57,69,375000.0,500.0,19,2022.0,59,46,64,36,48,60,54,61,70,66,54,60,56,185
14228,J. Tineo,"CB, CDM, RB",62,67,525000.0,500.0,25,2025.0,61,41,62,24,40,51,34,67,62,67,62,63,58,183
15600,A. Uzodimma,CDM,60,69,525000.0,2000.0,22,2024.0,56,56,61,49,62,58,64,58,64,68,49,60,59,176
14351,Bastida,"CDM, CM",62,80,950000.0,500.0,17,2022.0,62,54,55,32,60,53,55,60,53,60,70,64,62,170
1775,J. Rodríguez,"CDM, CM",75,80,7500000.0,12000.0,25,2023.0,73,63,77,47,74,57,66,82,81,67,76,76,69,179
8431,C. Niasse,"CDM, CB",67,78,2200000.0,7000.0,21,2023.0,64,59,70,34,67,53,58,58,73,66,65,69,65,188
8537,A. Albu,"CDM, CB",67,68,1000000.0,3000.0,27,2022.0,65,59,80,39,59,63,55,72,82,74,64,67,64,188
8999,D. Miloc,"CM, CDM",66,66,825000.0,3000.0,30,2022.0,66,61,78,34,70,66,48,75,73,75,66,70,67,177
4990,J. Williams,"CDM, CM, CAM",70,77,3000000.0,15000.0,24,2024.0,68,67,64,62,73,63,63,49,58,84,66,72,71,185
13283,C. Cvetko,"CM, CDM",63,67,675000.0,2000.0,24,2023.0,56,60,73,42,65,58,63,63,72,62,64,58,53,181
9752,S. Nakamura,"CDM, CM, CAM",66,67,875000.0,1000.0,27,2025.0,61,64,67,61,68,67,71,62,66,60,64,63,55,178
7199,M. Hoedemakers,"CDM, CM",68,76,2500000.0,3000.0,23,2023.0,65,66,65,43,64,64,70,61,64,59,70,67,63,181
7016,A. Arias,"CM, CDM",68,73,1800000.0,500.0,25,2021.0,66,65,51,40,66,74,64,60,36,66,72,65,63,164
4952,O. Govea,"CM, CDM, CAM",70,74,2200000.0,8000.0,25,2022.0,68,70,66,63,70,75,72,67,62,72,72,71,73,174
5512,P. Oniangué,"CDM, CM, CB",69,69,925000.0,3000.0,32,2022.0,68,62,85,60,65,71,70,90,90,72,68,66,66,190
5257,Toni Moya,"CM, CAM, CDM",70,78,3500000.0,11000.0,23,2023.0,63,63,58,38,70,62,52,71,54,58,67,70,59,180
9279,E. Serje,CDM,66,73,1600000.0,1000.0,25,2024.0,61,54,69,39,61,60,48,65,60,68,66,65,62,178
14333,J. Fedl,"CB, RB, CDM",62,69,750000.0,500.0,22,2023.0,63,39,64,20,33,57,37,72,65,60,63,64,63,188
14387,S. Canestrelli,"CB, CDM",62,71,825000.0,2000.0,20,2024.0,64,39,67,37,43,43,46,71,72,54,59,73,69,192
3775,Edgar,"CDM, CB",72,79,4400000.0,13000.0,24,2023.0,72,60,78,37,66,55,54,59,77,82,73,74,70,193
6684,D. Linsmayer,"CDM, CM",68,68,1000000.0,8000.0,29,2025.0,66,63,73,32,67,62,51,77,74,61,67,66,65,182
8175,Adrián Diéguez,"CB, CDM",67,73,1400000.0,3000.0,25,2024.0,68,48,66,35,39,57,45,80,69,61,68,71,68,187
10127,F. Pol,"CM, CAM, CDM",65,65,450000.0,500.0,33,2022.0,63,63,53,45,64,63,66,42,46,63,67,64,60,173
12390,A. Blomqvist,"CM, CDM",63,63,475000.0,1000.0,29,2022.0,49,68,61,62,69,68,71,67,63,56,50,46,49,182
12400,M. Al Fehaid,"CDM, CB, CM",63,63,325000.0,6000.0,31,2023.0,61,55,73,34,65,67,55,73,68,73,63,62,57,171
4409,J. Yueill,"CM, CDM",71,75,2700000.0,5000.0,24,2021.0,63,70,72,68,76,67,73,51,69,69,62,68,58,178
13347,S. Aka,"CDM, CM",63,66,575000.0,3000.0,26,2025.0,60,59,74,34,64,58,59,62,80,66,56,64,61,183
10595,L. Fraser,"CDM, CM, CB",65,72,1300000.0,2000.0,23,2021.0,60,62,73,28,71,54,43,68,78,73,58,64,54,185
3885,N. Theuerkauf,"LB, CDM, CB",71,71,700000.0,14000.0,34,2022.0,73,64,76,44,64,66,74,70,80,75,73,74,72,183
10969,A. Terrazas,"CM, CDM",65,69,1000000.0,500.0,20,2021.0,60,59,69,43,65,56,65,56,71,63,65,65,55,175
10205,J. Vet,"CM, CAM, CDM",65,65,750000.0,3000.0,27,2022.0,62,58,81,50,65,35,70,68,86,67,60,62,60,194
5053,A. Grgić,"CM, CDM, CAM",70,77,3200000.0,12000.0,24,2022.0,64,74,72,53,72,64,71,67,76,64,62,64,58,188
12616,R. Tranberg,"CDM, CB, RM",63,64,475000.0,900.0,28,2022.0,57,61,75,42,59,57,61,66,75,79,59,57,53,186
7716,Y. Chibsah,"CDM, CM",67,67,900000.0,8000.0,28,2022.0,64,62,74,44,64,77,68,65,73,71,64,67,64,178
10861,E. Zaracho,"CM, CDM",65,65,575000.0,500.0,31,2021.0,50,67,61,33,68,61,55,57,68,44,61,52,49,179
6418,H. Lamberti,"CDM, CM",68,68,240000.0,4000.0,37,2021.0,66,56,73,50,61,58,57,64,74,66,73,70,61,172
9966,Y. Songo'o,CDM,65,65,600000.0,5000.0,29,2023.0,63,55,79,43,59,71,54,82,81,72,63,64,63,185
10640,B. Mendy,"CDM, CB",65,78,1700000.0,4000.0,21,2024.0,66,57,72,31,57,34,51,70,84,62,63,69,65,191
9786,Ros,"CB, CDM",66,71,1100000.0,2000.0,25,2023.0,67,60,64,39,65,59,59,70,66,66,67,66,67,188
7286,Y. Nader,"CDM, CB",68,76,2600000.0,500.0,22,2024.0,66,56,77,57,61,54,71,73,75,74,67,68,67,178
8356,P. Lima,"CDM, CM, RM",67,67,850000.0,700.0,30,2024.0,60,64,69,33,71,59,52,65,69,62,62,59,57,181
8915,A. Rose,"CB, CDM",66,66,575000.0,2000.0,31,2021.0,62,57,79,51,62,37,71,78,80,73,62,62,54,189
5894,T. Romanczuk,CDM,69,69,1200000.0,5000.0,29,2023.0,69,62,77,51,65,69,68,81,72,71,72,68,65,186
11026,S. Piçinciol,"CB, CDM",65,67,800000.0,3000.0,25,2022.0,67,43,66,32,49,51,42,72,67,60,66,67,65,182
11372,F. Arce,"CDM, CM, RM",64,73,1200000.0,3000.0,24,2023.0,62,59,75,41,60,64,72,76,76,77,60,63,59,184
8006,M. Lemos,"CB, CDM",67,69,1100000.0,13000.0,25,2022.0,65,59,71,30,71,67,69,82,77,70,63,68,65,187
13993,F. Ángel,"CM, CDM",62,75,950000.0,500.0,20,2023.0,64,57,48,39,60,49,46,55,45,39,67,70,65,172
6842,D. Ball,"CDM, CM",68,72,1500000.0,7000.0,25,2022.0,65,58,73,27,66,65,56,73,71,73,66,65,62,185
9332,T. Shimakawa,"CDM, CM",66,66,600000.0,1000.0,31,2022.0,64,57,70,53,61,64,59,54,71,63,65,66,59,180
13759,E. Massouema,"CM, CDM",62,69,800000.0,3000.0,24,2022.0,61,59,65,44,63,65,66,66,65,59,62,64,59,185
12083,B. Roux,CDM,64,72,1200000.0,1000.0,21,2023.0,65,53,68,37,60,50,56,70,73,65,65,65,65,190
9109,M. Frey,"CM, CDM",66,70,1200000.0,3000.0,25,2023.0,66,62,71,43,66,67,58,78,70,70,67,69,65,181
8098,S. Ezatolahi,"CDM, CM",67,73,1500000.0,3000.0,24,2023.0,65,60,72,41,67,59,72,58,73,75,67,66,62,190
12138,J. Medina,"CB, CDM",64,64,500000.0,500.0,29,2025.0,63,46,66,27,51,51,40,73,75,55,59,68,65,187
7911,T. Serbest,"CB, CDM, CM",67,69,1100000.0,5000.0,27,2023.0,66,65,71,36,68,66,59,75,72,65,63,66,62,184
10275,S. Aasmundsen,"CM, CDM",65,65,575000.0,1000.0,31,2021.0,55,66,71,42,64,73,59,83,68,63,59,55,51,175
12566,R. Amin,"CM, CDM",63,65,600000.0,1000.0,25,2021.0,55,64,65,47,69,69,66,66,62,75,59,59,55,179
12170,Maciel,"CDM, CM",64,74,1200000.0,1000.0,21,2021.0,58,58,59,30,70,65,53,65,54,57,62,62,57,168
7211,D. Nedelcu,"CDM, CB",68,73,1700000.0,6000.0,24,2022.0,66,62,70,40,70,53,71,73,70,67,66,68,64,189
12171,S. Lynen,"CM, CDM, CAM",64,70,925000.0,3000.0,22,2023.0,56,61,72,36,64,53,64,56,78,65,64,61,48,185
12028,M. Bogarde,"CB, CDM, RB",64,81,1400000.0,4000.0,19,2024.0,66,50,62,35,57,73,40,72,58,61,69,68,68,182
11919,H. Akujobi,"RB, CDM",64,72,1300000.0,2000.0,21,2022.0,60,59,74,40,62,65,59,61,75,78,60,65,62,175
13865,N. Plume,CDM,62,66,525000.0,500.0,24,2022.0,61,55,69,25,55,58,48,63,71,60,63,59,55,187
13200,A. Carlén,"CDM, CM",63,70,925000.0,600.0,21,2022.0,64,51,70,38,58,54,49,57,75,59,64,64,55,193
11690,J. Colina,CDM,64,64,200000.0,500.0,34,2024.0,66,54,59,32,64,56,52,57,56,75,73,69,63,170
14827,S. Sanna,"RWB, CDM",61,71,700000.0,1000.0,22,2024.0,61,61,48,54,65,64,63,45,46,61,53,65,66,170
14164,C. Boukhalfa,CDM,62,71,850000.0,800.0,22,2022.0,59,54,67,37,62,57,57,59,66,74,59,60,60,186
4483,T. Băluță,"CDM, CM",71,82,4000000.0,25000.0,22,2022.0,69,57,74,21,68,62,79,74,83,59,71,73,68,188
176,P. Højbjerg,"CDM, CM",83,86,43500000.0,105000.0,25,2025.0,81,76,82,60,80,65,84,65,78,87,82,84,72,185
16496,F. Guerrero Iturri,CDM,59,70,450000.0,500.0,19,2023.0,58,58,58,35,61,55,60,62,58,55,55,61,58,175
19080,M. Hutchison,CDM,50,60,100000.0,500.0,20,2021.0,44,48,52,27,51,54,42,59,53,53,48,46,47,177
15480,A. Khan,"CB, CDM",60,60,160000.0,500.0,32,2022.0,56,47,79,57,52,72,52,86,80,71,57,55,57,178
3575,Alminho Boas,"CDM, CM, CB",72,72,2300000.0,21000.0,25,2024.0,69,62,76,37,69,71,23,69,72,85,69,73,70,180
542,N. Gudelj,"CDM, CM, CB",79,79,15000000.0,30000.0,29,2023.0,75,79,83,69,77,60,85,67,85,83,78,76,71,187
1211,M. van Ginkel,"CM, CDM",76,76,7500000.0,19000.0,28,2023.0,70,76,74,73,78,68,78,76,76,69,62,73,68,186
15314,D. Haspolat,"CM, CDM",60,70,550000.0,2000.0,21,2023.0,52,61,56,50,60,75,52,60,58,53,57,56,41,177
18764,D. Nugent,CDM,52,64,180000.0,500.0,20,2021.0,47,50,57,36,49,54,49,59,58,55,49,49,47,183
15868,J. Meyer,CDM,60,75,550000.0,2000.0,19,2025.0,59,52,60,37,54,55,58,54,67,57,56,64,62,181
1138,A. Hutchinson,"CDM, CM",76,76,1500000.0,26000.0,38,2022.0,75,73,74,63,74,59,73,64,74,67,75,77,68,187
1744,J. Riedewald,"CDM, CB",75,78,7000000.0,36000.0,24,2024.0,74,74,70,45,75,66,69,67,74,73,76,75,71,182
2508,D. Latza,"CM, CDM",73,73,2500000.0,11000.0,31,2023.0,64,72,77,54,73,72,75,73,68,82,71,58,51,179
1196,X. Chavalerin,"CDM, CM",76,76,6500000.0,18000.0,30,2024.0,70,74,76,59,73,66,74,63,71,71,76,73,69,178
18607,B. Al Sayali,"CDM, CM",53,69,230000.0,3000.0,20,2022.0,51,52,51,27,53,56,43,57,50,52,52,52,49,171
