,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,weak_foot,skill_moves,pace,shooting,passing,dribbling,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_ball_control,movement_acceleration,movement_sprint_speed,power_stamina,mentality_aggression,mentality_positioning,skill_fk_accuracy,movement_agility,mentality_penalties,height_cm
2302,Aleñá,"CM, RM, CAM",74,79,6500000.0,20000.0,23,2026.0,2,4,70,67,74,75,67,66,34,78,41,73,76,71,70,64,55,70,59,76,73,180
1822,Jailson Caeiro,"RB, RM",75,75,4900000.0,13000.0,29,2024.0,4,3,70,53,63,72,71,51,71,69,58,73,71,73,68,82,53,59,49,71,62,177
9813,M. Roman,"RW, RM",65,65,230000.0,3000.0,36,2022.0,3,3,70,63,65,64,69,58,51,66,61,61,66,66,73,50,59,68,66,71,68,173
12389,Moon Chang Jin,"CM, CAM, RM",63,63,500000.0,1000.0,27,2021.0,4,3,70,60,65,69,61,65,40,66,45,68,66,68,71,61,32,68,68,84,56,170
18974,V. Barretto,"RM, LM",51,63,140000.0,500.0,21,2024.0,3,2,70,41,46,52,47,41,33,50,40,50,51,71,69,53,34,43,36,72,50,170
16217,I. Someno,"RM, ST",59,73,525000.0,950.0,19,2022.0,4,2,70,61,60,54,62,62,59,63,59,48,58,68,71,39,55,57,53,63,58,179
18901,S. Tavora,"CDM, RM",51,57,80000.0,500.0,25,2022.0,3,2,70,44,47,50,49,41,43,49,48,45,49,69,71,63,59,46,38,67,43,169
16269,R. Dadok,"RWB, RM",59,64,325000.0,1000.0,24,2023.0,3,3,70,53,56,57,61,55,61,56,44,55,56,79,63,71,53,56,41,66,59,184
2836,M. Vojvoda,"RB, RM",73,76,3700000.0,29000.0,26,2024.0,4,2,70,50,68,69,73,39,62,69,47,71,69,71,69,71,70,62,58,68,35,187
16108,M. Rakoczy,"CAM, RM",59,74,525000.0,1000.0,19,2022.0,2,2,70,50,56,60,52,48,47,61,41,59,60,73,67,59,58,56,45,61,47,174
16100,T. Coyle,"RM, LM",59,69,500000.0,2000.0,20,2024.0,3,3,70,53,54,61,51,54,27,57,40,60,59,73,68,64,34,57,45,68,44,179
9667,E. Valencia,"CM, LM, RM",66,77,1900000.0,900.0,21,2022.0,3,2,70,63,63,69,57,64,50,70,41,68,70,70,70,67,55,68,42,72,55,176
16394,N. Mehssatou,"RM, RB",59,73,525000.0,1000.0,18,2022.0,3,3,70,47,55,69,56,43,46,58,46,68,66,73,68,48,61,46,51,88,48,162
14073,D. Seger,"RM, ST",62,68,650000.0,850.0,21,2022.0,3,3,70,55,59,62,54,58,33,64,45,61,64,71,70,67,45,61,48,72,45,179
16455,S. Baş,"RM, RW",59,59,240000.0,2000.0,27,2025.0,2,2,70,60,53,64,57,59,60,56,62,66,61,69,71,57,44,52,46,71,55,180
9926,Fran Grima,"RB, RM",65,65,250000.0,2000.0,34,2022.0,3,2,70,42,52,60,60,41,40,53,30,55,62,71,70,81,65,53,46,72,48,174
8719,G. François,"RB, RM, RWB",66,66,625000.0,5000.0,31,2022.0,4,3,70,57,61,67,64,54,53,62,54,66,66,72,68,66,68,64,59,71,58,174
2054,P. Herrmann,"RM, RW",74,74,4100000.0,24000.0,30,2022.0,3,3,70,72,73,75,76,71,54,75,70,75,75,75,66,67,58,72,67,76,62,179
19009,P. Bhumij,"LM, RM",50,59,110000.0,500.0,22,2024.0,3,2,70,50,41,53,42,43,41,43,39,45,49,73,68,50,35,47,32,87,40,161
11884,V. Rață,"CM, CDM, RM",64,64,575000.0,2000.0,28,2023.0,4,3,70,58,63,64,54,55,52,68,61,60,63,69,71,84,67,58,60,81,41,174
18290,A. Jasson,"RW, LW, RM",54,74,300000.0,850.0,19,2025.0,2,2,70,47,47,58,50,48,59,54,43,58,59,69,70,52,28,52,35,62,47,175
12645,J. Saksela,"RB, RM",63,63,425000.0,500.0,28,2021.0,3,2,70,39,57,59,63,38,46,60,37,59,60,67,72,68,65,45,44,64,41,185
5754,T. Martínez,"RM, CAM, CM",69,70,1600000.0,8000.0,26,2021.0,2,3,70,62,69,72,63,55,47,75,63,71,71,73,67,59,65,67,59,78,57,171
7724,S. Sandberg,"RWB, RM",67,68,1100000.0,2000.0,27,2022.0,3,2,70,43,59,60,67,41,54,60,35,57,60,67,73,83,65,56,35,66,39,186
10769,De Erjiaduo,"RM, CM, LM",65,70,1100000.0,4000.0,24,2021.0,3,3,70,58,65,61,65,55,55,68,59,65,57,72,69,64,67,69,60,65,53,188
1169,M. Albrighton,"RM, RWB",76,76,6000000.0,76000.0,31,2024.0,3,3,70,68,76,76,84,67,45,74,72,77,77,72,68,75,73,72,73,73,60,175
18781,K. Corbally,RM,52,69,200000.0,500.0,17,2021.0,2,2,70,45,46,53,46,47,38,49,39,52,49,71,69,54,36,45,44,68,49,175
3209,Á. Peña,"CAM, RM, CM",72,72,1900000.0,600.0,31,2022.0,3,3,70,70,71,73,63,68,55,71,59,73,69,71,70,65,53,64,77,81,65,170
15659,D. Miculescu,"LM, RM, ST",60,69,550000.0,1000.0,20,2022.0,3,3,70,59,52,61,57,62,57,56,43,61,60,69,71,64,37,56,32,70,37,189
6248,K. Onose,"RM, RB",69,69,1400000.0,7000.0,28,2023.0,3,3,70,66,66,68,67,65,42,66,63,67,66,71,69,78,71,68,63,78,62,176
17426,M. Villarroel,"RW, RM",57,70,375000.0,500.0,17,2025.0,3,3,70,52,55,58,55,48,55,57,55,65,50,70,70,55,53,55,52,58,61,176
13955,S. Straudi,"RB, RM, CM",62,70,850000.0,2000.0,22,2022.0,3,3,70,51,58,64,61,51,43,64,50,64,60,72,68,55,56,55,41,73,46,176
10807,G. Zappa,"RB, RM",65,77,1700000.0,5000.0,21,2025.0,2,2,70,32,57,61,67,23,45,60,21,60,63,68,72,70,50,58,31,60,40,183
5861,Ji Xiang,"RB, RM",69,69,1000000.0,9000.0,31,2021.0,4,3,70,58,71,65,73,50,72,71,53,67,62,72,68,76,62,68,80,63,50,185
10818,A. Landázuri,"RB, RM",65,72,1400000.0,500.0,24,2022.0,2,2,70,43,53,52,64,38,56,61,32,43,58,61,77,70,51,40,38,66,41,178
12521,F. Børsting,"RM, RWB",63,64,575000.0,3000.0,26,2022.0,4,2,70,59,56,61,57,64,51,60,51,60,61,69,71,81,87,56,50,66,53,178
8077,H. Mita,"CM, RM, CDM",67,67,975000.0,4000.0,30,2022.0,3,3,70,63,66,66,62,62,56,67,50,63,67,69,71,79,66,66,67,68,60,173
18252,N. Lemoine,"RM, RW",54,69,275000.0,950.0,21,2021.0,2,2,70,50,48,55,47,51,35,50,39,55,52,69,70,56,32,48,36,69,52,173
11065,Mikel Álvaro,"CM, RM, LM",64,64,180000.0,1000.0,38,2022.0,4,4,71,62,62,67,57,59,46,63,55,68,66,72,70,62,49,67,61,71,62,176
13882,L. Schöfl,"CM, RB, RM",62,70,875000.0,2000.0,20,2022.0,3,2,71,48,60,64,52,46,62,66,38,62,65,68,73,65,58,58,47,69,40,177
18251,E. Dobbelaere,"RM, RW",54,68,250000.0,500.0,18,2021.0,3,2,71,43,46,60,53,43,33,49,38,62,56,71,71,43,36,52,35,73,44,175
4687,J. Isijara,"RM, LM, RB",70,70,1300000.0,12000.0,31,2021.0,3,3,71,63,66,71,70,63,54,73,46,71,73,69,73,75,49,69,47,73,49,180
13939,J. Nisbet,"RM, CM, CDM",62,73,900000.0,600.0,22,2022.0,3,2,71,42,60,66,52,42,48,67,40,64,62,69,73,81,59,40,49,81,51,158
13709,H. Paton,"CM, RM",62,71,875000.0,1000.0,23,2022.0,4,2,71,55,60,65,54,53,52,65,42,65,63,72,71,74,59,59,43,73,51,175
7123,L. Shengelia,RM,68,70,1500000.0,6000.0,25,2023.0,4,2,71,61,63,68,64,63,62,68,48,70,70,73,69,60,52,68,40,67,51,185
4630,N. Dirar,"RM, RB, LB",70,70,650000.0,7000.0,35,2022.0,4,3,71,65,68,71,68,62,51,71,62,71,73,70,72,68,72,72,62,71,52,187
13781,M. Lema,"LM, RM",62,71,900000.0,1000.0,21,2022.0,3,2,71,58,60,66,67,61,45,62,49,67,67,74,69,34,28,55,37,70,38,176
11924,E. Del Prato,"RB, RM, CM",64,75,1300000.0,5000.0,21,2025.0,3,2,71,45,59,59,60,34,56,64,48,61,58,69,73,68,63,61,45,55,51,183
12500,J. Lindseth,"CM, RM",63,67,675000.0,1000.0,25,2022.0,3,3,71,56,60,68,57,56,49,64,51,69,68,68,74,80,64,58,45,72,52,182
18897,B. Singh,"CAM, RM",51,59,130000.0,550.0,23,2022.0,3,2,71,35,47,54,39,33,31,56,39,52,50,84,61,36,55,47,32,71,25,165
8677,J. Calesti,"RM, LM",66,66,1000000.0,500.0,21,2026.0,3,3,71,58,63,68,67,54,69,64,49,67,64,74,68,67,61,60,60,80,68,168
12393,K. Morris,"RM, CM, CAM",63,63,500000.0,2000.0,27,2022.0,4,3,71,62,56,66,54,61,51,57,50,65,65,72,70,80,57,58,50,81,53,178
5808,G. Dewaele,"RB, RM",69,73,1800000.0,7000.0,25,2023.0,3,2,71,61,60,57,64,62,58,63,37,53,60,67,75,87,63,68,50,62,58,182
12550,D. Dianessy,"CAM, LM, RM",63,68,700000.0,1000.0,25,2026.0,4,3,71,62,54,66,43,62,55,59,59,66,65,69,73,33,32,61,35,75,62,182
6238,M. Comba,"RM, LM, CM",69,69,1500000.0,8000.0,27,2022.0,3,3,71,68,65,68,66,74,66,65,57,68,69,72,71,67,31,69,55,65,64,170
6499,A. Esswein,"ST, RM, LM",68,68,1000000.0,4000.0,31,2024.0,3,3,71,67,62,67,66,62,65,64,68,68,66,76,66,72,72,67,54,65,61,182
5986,D. Črnigoj,"RM, LM, RW",69,71,1700000.0,10000.0,25,2023.0,3,3,71,59,68,69,69,58,29,70,55,68,70,73,69,65,50,70,55,77,34,185
12282,M. Mešanović,"ST, RM, LM",63,63,475000.0,2000.0,30,2023.0,3,3,71,62,45,61,37,64,60,53,59,58,58,72,70,67,55,63,54,70,45,177
12117,R. Arancibia,"RM, CM, LM",64,72,1300000.0,500.0,21,2021.0,3,2,71,55,60,63,65,63,35,64,55,65,63,70,71,72,48,61,45,64,55,170
12233,M. Gümüşkaya,"CAM, RM, LM",64,77,1400000.0,7000.0,20,2025.0,3,3,71,62,66,67,67,58,45,66,57,68,66,72,70,63,46,58,70,74,67,177
6540,P. Jiménez,"LM, RM, LW",68,68,400000.0,500.0,37,2021.0,2,3,71,60,64,70,70,60,44,64,44,80,63,71,71,70,42,60,67,71,42,176
6296,B. Pichler,"ST, LM, RM",69,76,2800000.0,11000.0,23,2025.0,3,3,71,67,63,64,64,70,72,65,53,69,67,66,75,69,32,67,54,46,62,184
13295,Ander Martín,"RM, CM",63,75,1200000.0,1000.0,20,2023.0,4,4,71,59,58,66,58,64,43,65,48,68,66,73,70,52,32,54,50,67,67,177
5264,J. Medina,"RM, CAM, RW",70,76,2500000.0,5000.0,24,2022.0,3,3,71,67,70,68,69,68,66,71,63,68,68,71,71,73,38,69,66,72,63,178
5299,M. Salas,"ST, RM",70,78,3600000.0,8000.0,23,2023.0,3,3,71,71,66,73,63,72,56,70,49,75,74,72,71,69,32,68,35,72,54,172
18419,R. Al Qahtani,"RM, ST",54,70,275000.0,2000.0,19,2026.0,3,2,71,49,50,54,47,52,39,54,43,51,56,70,72,54,26,50,33,60,52,172
5036,F. Passlack,"RM, RB",70,75,2400000.0,22000.0,23,2023.0,4,3,71,60,67,71,69,58,44,72,53,70,71,74,68,78,83,63,63,75,66,170
18462,P. Omochere,RM,53,66,230000.0,500.0,20,2021.0,2,3,71,44,46,54,47,44,47,47,45,52,53,70,71,50,39,50,39,70,48,188
748,R. Ghezzal,RM,78,78,14000000.0,47000.0,29,2024.0,3,4,71,69,81,80,84,68,56,80,62,81,82,72,71,67,48,73,74,80,72,182
11962,C. Menacho,"RM, RW",64,75,1300000.0,500.0,21,2021.0,3,2,71,53,57,65,65,49,37,59,38,65,69,72,71,79,39,58,37,77,39,185
5355,M. Castro,"RM, LM",70,73,2100000.0,8000.0,25,2022.0,3,3,71,67,67,71,70,70,54,71,52,72,69,75,67,68,54,66,70,73,58,172
5571,D. Lizio,"LM, RM, CM",69,69,1100000.0,600.0,32,2021.0,3,4,71,58,61,75,72,61,34,62,43,80,73,70,72,71,42,62,68,75,71,168
12773,M. Merghem,"RM, CM",63,69,750000.0,2000.0,23,2022.0,3,4,71,57,62,67,59,54,46,66,49,67,65,73,70,62,58,56,66,75,53,185
12732,L. Röser,"ST, RM",63,63,525000.0,1000.0,27,2022.0,3,3,71,63,53,63,47,64,58,63,58,62,62,70,72,55,53,60,34,67,65,184
12717,B. Cejas,"CAM, RM, RW",63,72,1100000.0,500.0,23,2021.0,3,2,71,59,61,63,52,59,61,65,50,63,61,67,74,48,56,64,58,72,54,175
11127,J. Hoffman,"RWB, RM, LM",64,64,400000.0,800.0,32,2022.0,3,2,71,55,57,60,60,58,54,58,47,58,59,70,72,73,65,63,32,65,56,189
13088,B. Bodily,"RM, LM, ST",63,69,750000.0,2000.0,23,2021.0,4,2,71,56,61,64,66,54,43,62,48,66,60,74,69,53,52,60,48,67,44,175
18625,D. Farooq,"LM, RM, ST",53,56,120000.0,500.0,25,2023.0,3,2,71,47,50,51,54,50,58,52,40,48,51,70,71,54,36,45,40,66,52,185
5438,V. Larralde,"RM, CM",70,79,3500000.0,7000.0,20,2022.0,3,2,71,60,70,71,68,62,49,75,47,69,71,74,68,67,56,63,49,76,47,170
12975,D. Steczyk,"RM, LM, ST",63,73,1100000.0,2000.0,22,2023.0,4,2,71,59,56,65,54,61,61,62,52,64,66,73,69,74,32,60,35,71,63,185
12945,Jung Hoon Sung,"RM, CAM",63,63,500000.0,2000.0,27,2025.0,3,3,71,47,57,65,61,49,37,61,44,65,65,72,70,44,34,59,35,59,46,172
10437,Rafa Mújica,"ST, RM, LM",65,75,1600000.0,3000.0,22,2022.0,3,3,71,65,58,68,59,64,62,66,62,68,69,70,71,63,58,62,56,67,62,185
15323,E. Osborne,"RM, CM, CAM",60,63,325000.0,2000.0,25,2022.0,3,2,71,53,59,58,56,51,42,61,38,55,58,70,72,73,50,54,56,66,44,183
17248,R. Jesuraj,RM,57,60,220000.0,500.0,24,2022.0,3,2,71,46,53,58,54,45,35,54,35,57,54,72,71,68,34,52,42,75,44,170
1521,S. Feghouli,"RM, CM, RW",75,75,4700000.0,47000.0,31,2022.0,3,4,71,71,75,78,75,66,60,75,68,78,79,72,71,63,72,76,68,80,62,176
7894,N. Sandberg,"RM, RW",67,68,1200000.0,2000.0,26,2022.0,3,3,71,62,65,67,64,62,60,65,54,67,66,71,71,79,58,63,61,65,70,183
2675,Kwon Chang Hoon,"RM, CF",73,73,3200000.0,6000.0,27,2021.0,3,4,71,67,72,77,72,65,62,74,63,75,76,75,67,60,68,70,66,86,55,173
14892,J. Montaño,"CDM, RM",61,71,700000.0,500.0,22,2025.0,3,3,71,42,58,60,60,50,44,61,32,61,57,70,72,58,61,41,41,68,48,180
17824,Xu Tianyuan,"RM, LM, RW",55,60,190000.0,2000.0,24,2021.0,4,2,71,55,42,59,50,54,62,38,42,60,57,66,75,60,28,55,43,65,62,181
14852,B. Farioli,"LM, CAM, RM",61,70,725000.0,2000.0,23,2021.0,2,3,71,51,59,62,63,47,41,62,41,64,61,69,72,62,33,56,55,70,52,180
9423,José Lara,"RM, LM",66,77,1900000.0,5000.0,21,2023.0,3,3,71,62,62,71,62,67,45,64,58,71,72,74,69,44,42,58,49,77,61,162
16351,E. Tetah,"LM, RM",59,73,525000.0,1000.0,19,2025.0,2,2,71,48,54,64,57,48,47,55,45,67,63,74,68,53,39,43,41,56,62,170
15043,N. Rojas,"RB, RM",61,71,675000.0,500.0,19,2023.0,3,2,71,50,50,58,54,45,50,55,57,59,58,70,72,65,55,50,48,55,55,175
1405,Brais Méndez,"RM, CM, ST",76,82,12000000.0,20000.0,24,2024.0,3,4,71,74,76,74,74,75,52,77,65,76,77,70,71,65,45,77,75,69,62,187
7932,Iván Calero,"RB, RM, LM",67,70,1200000.0,3000.0,26,2023.0,3,2,71,48,62,65,66,44,50,63,40,63,64,70,72,72,37,63,46,77,44,174
14986,G. Marín,"RM, RW, LW",61,74,800000.0,500.0,20,2021.0,3,4,71,54,58,61,61,55,41,61,49,65,57,70,72,66,40,55,45,61,59,172
10539,I. Shinozuka,"RM, ST, LB",65,66,850000.0,3000.0,26,2022.0,3,2,71,62,57,68,58,66,43,61,49,71,66,65,75,59,63,67,37,69,53,177
15707,S. Alabi,"CAM, RM",60,74,600000.0,2000.0,21,2024.0,2,3,71,47,58,66,49,46,41,63,48,65,63,75,68,49,61,54,39,87,41,170
15695,B. Hollerbach,"RM, LM",60,67,475000.0,1000.0,20,2023.0,3,2,71,59,50,61,49,60,57,55,49,60,61,69,73,63,59,59,30,66,59,181
2972,J. Gressel,"RM, RWB, CAM",73,73,3200000.0,8000.0,27,2024.0,4,3,71,64,73,70,77,62,60,73,60,71,70,70,72,88,72,72,64,64,62,185
3088,Yeremy Pino,"RM, LM, ST",73,84,6500000.0,8000.0,18,2024.0,4,3,71,66,70,73,69,70,46,72,62,75,73,73,70,70,51,70,60,73,47,172
3146,M. Carcela-González,"RW, RM, CAM",72,72,1900000.0,13000.0,32,2022.0,3,4,71,69,69,77,68,66,32,70,66,79,75,75,67,53,47,72,71,80,70,175
7615,M. Hoyos,"RM, LM",67,67,1000000.0,500.0,29,2024.0,3,3,71,63,63,66,64,64,59,64,59,66,65,73,70,66,60,65,61,74,60,185
15473,G. Crețu,"RW, RM, RB",60,66,400000.0,900.0,21,2024.0,3,3,71,50,58,63,57,44,42,62,45,61,61,72,70,58,57,54,46,73,43,176
1799,C. Roldan,"CDM, RM",75,78,6500000.0,8000.0,26,2022.0,4,3,71,67,70,75,64,65,64,76,49,74,74,71,71,92,78,69,45,77,65,173
15602,R. Raposo,"LM, RM, ST",60,66,400000.0,1000.0,22,2021.0,2,3,71,56,55,66,54,59,37,60,56,65,66,75,68,34,33,56,55,75,56,170
18084,M. Al Aqel,"ST, RM",55,69,325000.0,3000.0,21,2022.0,3,2,71,53,45,57,42,56,51,49,44,57,57,72,70,54,45,53,39,57,56,182
16836,K. Chauke,"RM, CM",58,75,525000.0,3000.0,18,2022.0,2,2,71,47,55,61,44,44,37,60,49,60,59,73,70,49,44,48,49,71,54,177
9792,Rodrigo Conceição,"RB, RM",66,74,1800000.0,2000.0,21,2022.0,2,2,71,39,49,66,54,30,54,55,26,66,68,68,74,74,77,47,40,56,39,175
9249,S. Ramírez,"RB, RM",66,72,1300000.0,950.0,22,2021.0,3,2,71,46,60,62,66,48,58,63,36,59,62,72,71,72,59,64,33,70,38,178
14486,M. Samuelsen,"ST, LM, RM",61,67,525000.0,850.0,24,2022.0,4,4,71,59,58,69,52,58,54,61,40,70,70,70,72,56,31,59,60,69,50,189
1971,A. Mierzejewski,"CAM, CM, RM",74,74,2000000.0,15000.0,34,2021.0,4,4,71,74,73,76,71,75,64,76,71,76,76,73,70,81,73,71,74,77,64,176
16715,Han Jung Woo,"RM, CAM",58,64,325000.0,600.0,22,2021.0,4,2,71,49,54,60,55,51,37,58,39,58,58,75,67,56,43,54,40,64,46,169
7267,Avilés,"RM, LM",68,74,1900000.0,5000.0,23,2026.0,4,4,71,61,64,69,69,68,44,69,35,70,74,70,71,53,25,62,42,65,51,180
9638,D. Febles,"ST, RM",66,66,850000.0,500.0,30,2021.0,3,3,71,63,47,59,41,65,68,56,59,61,59,76,67,57,56,72,32,48,41,180
10796,J. Sanabria,"RM, LM, CM",65,79,1800000.0,3000.0,21,2023.0,3,3,71,60,62,66,60,59,43,64,48,64,65,73,70,75,70,60,65,75,58,173
10804,E. Demir,"CAM, RM",65,79,1600000.0,500.0,17,2023.0,3,3,71,58,64,69,59,63,46,68,54,70,71,71,71,56,51,53,52,58,58,175
8090,K. Higashi,"CM, RM, LM",67,67,975000.0,4000.0,30,2022.0,4,3,71,64,66,66,62,63,60,68,60,63,67,75,68,79,68,67,61,71,61,178
9648,R. Hernández,RM,66,66,900000.0,500.0,27,2021.0,3,3,71,63,61,68,65,65,39,59,36,69,72,73,70,72,49,58,73,66,70,165
1999,E. Hernández,"RM, RW",74,74,2600000.0,22000.0,33,2024.0,3,4,71,75,73,77,69,73,49,76,72,77,77,73,70,69,39,69,67,74,70,171
16437,K. Tabiś,"RWB, RB, RM",59,70,475000.0,1000.0,21,2025.0,2,2,71,28,46,55,56,27,43,51,25,58,54,68,73,63,51,39,32,56,37,175
14157,A. El Moukhantir,"RM, CAM",62,68,625000.0,3000.0,23,2023.0,4,4,71,57,61,64,59,57,52,62,42,62,63,74,69,62,50,53,54,77,52,172
7353,B. Balcı,"RB, RM, CM",68,77,2600000.0,5000.0,21,2025.0,2,2,71,44,60,66,58,34,57,67,45,67,64,68,73,77,67,57,46,68,45,174
16409,E. Leopold,"CM, RM",59,68,500000.0,650.0,20,2022.0,3,2,71,38,58,58,50,37,43,65,29,52,60,73,69,74,51,48,40,81,41,174
9220,Y. Chajima,"RM, CF, RB",66,66,850000.0,4000.0,29,2022.0,3,2,71,58,64,67,67,60,47,69,41,63,65,73,69,69,48,60,50,90,49,166
16531,Li Yuanyi,"CM, RM",58,58,220000.0,2000.0,27,2022.0,4,2,71,59,56,57,56,54,57,56,62,52,57,72,70,80,50,59,56,80,56,183
1237,M. Pereyra,"CAM, CM, RM",76,76,6000000.0,9000.0,31,2021.0,2,4,71,70,76,77,74,68,49,78,69,74,78,74,68,73,67,78,73,82,62,170
2392,P. Bucha,"CM, CAM, RM",74,81,8500000.0,900.0,23,2022.0,4,3,71,71,74,76,73,70,62,76,67,76,76,75,67,76,68,72,65,76,70,176
14226,Roger,"ST, RM, CAM",62,66,550000.0,2000.0,25,2022.0,2,3,71,61,60,63,62,65,46,64,56,63,67,71,71,71,58,61,63,73,50,180
1779,H. Diallo,"ST, RM",75,78,7500000.0,24000.0,26,2025.0,3,3,72,74,55,71,49,78,81,66,72,71,74,71,73,70,55,78,37,67,80,186
12498,Koo Dae Young,"RWB, RM",63,63,425000.0,1000.0,29,2021.0,4,3,72,38,51,63,58,37,45,53,31,60,62,71,72,70,60,57,41,79,38,177
5829,C. Aquino,"CAM, RM, LM",69,69,1400000.0,550.0,29,2021.0,3,3,72,67,67,70,68,67,58,69,65,69,72,71,72,70,45,68,36,76,67,178
2210,Merquelanz,"LM, RM, CAM",74,75,5000000.0,26000.0,26,2022.0,3,3,72,77,75,74,77,77,41,76,66,74,75,73,71,67,65,71,80,72,73,176
16790,J. Fory,RM,58,75,525000.0,500.0,19,2025.0,3,2,72,48,51,56,55,56,45,58,47,55,55,73,72,75,40,45,34,70,40,187
5792,J. Garro,"LM, ST, RM",69,69,1400000.0,7000.0,28,2022.0,3,3,72,64,60,70,61,68,75,59,58,71,71,71,73,73,31,74,36,67,66,179
16012,M. Abu Shararah,"ST, RM",59,59,220000.0,4000.0,30,2026.0,3,2,72,59,49,58,46,60,58,57,53,58,54,71,73,52,60,57,35,69,64,176
17130,R. Fernandes,"RM, CM",57,60,220000.0,600.0,25,2023.0,2,2,72,44,52,57,41,46,32,56,35,54,57,74,70,59,52,57,35,69,38,172
18991,B. Archbold,RM,51,60,130000.0,500.0,19,2022.0,3,2,72,32,48,47,51,31,38,52,27,41,44,73,71,58,52,51,32,70,37,174
2385,Kangin Lee,"ST, CAM, RM",74,82,9500000.0,18000.0,20,2025.0,3,4,72,75,75,79,70,75,65,76,74,80,78,71,73,46,55,77,81,81,70,173
2728,Jason,"RM, RW",73,73,3300000.0,25000.0,26,2022.0,4,3,72,71,71,73,72,70,62,73,70,74,73,73,72,67,63,74,69,69,68,178
12144,S. Inoue,"LM, RM, CM",64,70,925000.0,2000.0,23,2022.0,3,2,72,58,58,68,57,61,40,63,43,67,67,77,68,67,50,54,31,70,48,167
6147,O. Danchenko,"RB, RM",69,69,1400000.0,550.0,26,2024.0,3,3,72,44,68,66,70,46,57,70,35,65,67,71,72,67,62,67,39,68,48,176
2595,S. Zoller,"ST, RM, LM",73,73,3000000.0,22000.0,30,2024.0,3,3,72,74,65,73,68,77,67,68,72,72,76,75,69,76,57,76,55,75,66,179
12209,M. Martins,"RB, RM",64,66,675000.0,4000.0,26,2023.0,2,3,72,43,54,54,63,47,48,59,28,52,55,69,75,73,60,51,31,56,53,185
16366,K. Kesler Hayden,"RB, RM",59,76,550000.0,2000.0,18,2022.0,3,3,72,43,55,60,58,55,37,57,27,64,57,74,70,53,46,44,30,66,38,175
2495,M. Pérez García,"CAM, LM, RM",73,73,1000000.0,11000.0,36,2021.0,3,4,72,68,73,76,72,69,39,74,55,75,74,70,74,67,74,70,71,85,67,165
2304,R. Oudin,"RM, LM",74,77,6000000.0,19000.0,24,2024.0,3,3,72,71,72,74,72,71,69,74,69,74,75,70,74,73,42,73,72,72,68,186
12408,K. Skaanes,"RM, CM",63,64,575000.0,1000.0,26,2023.0,3,3,72,53,58,65,57,54,41,62,43,64,62,70,73,67,45,58,42,74,48,175
12420,B. King,"RM, RW, LM",63,63,500000.0,900.0,27,2021.0,3,3,72,57,59,63,59,58,47,59,54,63,61,73,72,67,34,58,51,77,50,178
2849,William,"RB, RM",73,76,3700000.0,38000.0,26,2022.0,3,3,72,50,68,75,74,32,50,75,28,75,73,76,69,70,76,70,66,78,42,171
16086,S. Duke-McKenna,"RM, LM, CAM",59,72,550000.0,2000.0,20,2022.0,3,3,72,46,56,63,55,42,55,60,40,62,57,74,70,49,39,58,44,81,54,170
17268,VP Suhair,"RM, ST",57,57,170000.0,500.0,28,2022.0,3,3,72,54,49,58,47,58,55,53,51,58,55,70,73,71,51,56,35,67,48,174
16158,D. Burns,"RM, RW",59,72,525000.0,500.0,18,2022.0,3,3,72,51,54,60,57,54,37,54,44,59,57,71,72,63,37,52,51,76,53,177
5981,Pedro Pereira,RM,69,77,3100000.0,2000.0,23,2022.0,2,3,72,39,66,71,70,35,60,71,37,69,71,74,71,69,60,70,35,76,48,185
17222,I. Schmidt,"RW, RM",57,66,375000.0,2000.0,21,2023.0,3,2,72,51,49,59,55,52,48,51,46,56,57,73,71,60,36,54,36,84,47,172
6007,K. Hachisuka,"RB, RM, LB",69,69,1200000.0,3000.0,30,2022.0,4,2,72,42,63,62,71,46,66,62,29,61,63,66,76,83,64,60,36,61,37,180
2326,Mario González,"ST, RM",74,79,6500000.0,14000.0,25,2025.0,3,3,72,73,62,74,66,78,73,64,71,75,74,69,74,73,41,82,38,73,39,184
4080,P. De Blasis,"LM, RM, ST",71,71,1200000.0,6000.0,33,2022.0,4,3,72,71,68,76,67,71,67,69,60,75,73,74,70,59,69,73,67,90,76,166
4965,I. Success,"ST, RM, LM",70,75,2400000.0,10000.0,25,2024.0,3,3,72,68,64,73,73,67,64,67,57,76,75,69,74,46,45,70,54,67,68,182
13609,M. Romero,"CM, RM, RB",62,65,525000.0,2000.0,25,2022.0,3,3,72,55,57,65,58,55,54,64,35,65,64,72,72,68,56,63,31,72,45,179
4142,H. Sakhi,"CM, LM, RM",71,76,2700000.0,5000.0,25,2023.0,3,4,72,66,73,72,65,69,35,80,59,72,72,73,72,71,51,71,70,75,66,176
18345,J. Myszor,RM,54,71,275000.0,900.0,19,2022.0,3,2,72,47,47,56,52,49,39,52,48,55,58,71,72,51,39,47,39,61,55,175
4917,A. Halilović,"CAM, RM",70,74,2200000.0,15000.0,25,2022.0,3,4,72,62,70,75,71,57,24,71,64,74,76,74,70,55,40,68,69,82,66,169
18461,Jang Seong Won,RM,53,59,150000.0,1000.0,24,2022.0,3,2,72,46,48,53,49,45,33,51,39,51,48,71,73,64,60,43,36,72,49,175
