,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,mentality_vision,passing,dribbling,attacking_crossing,attacking_volleys,attacking_short_passing,attacking_finishing,skill_long_passing,skill_dribbling,skill_ball_control,skill_curve,skill_fk_accuracy,movement_reactions,movement_acceleration,power_stamina,mentality_positioning,mentality_composure,mentality_penalties,height_cm
16178,A. Gözütok,"CAM, RM",59,70,500000.0,750.0,20,2022.0,60,54,66,42,55,58,43,55,66,64,63,35,63,65,39,47,50,48,177
16171,E. Eyibil,"CAM, CF",59,70,500000.0,2000.0,20,2026.0,61,60,63,52,54,66,45,62,63,62,55,54,51,67,55,50,52,57,175
5135,F. Gaibor,"CAM, CM, CDM",70,70,1600000.0,700.0,29,2022.0,72,72,71,70,58,73,63,72,69,74,68,67,67,66,78,61,60,70,178
13276,B. Idrizi,CAM,63,68,725000.0,2000.0,23,2023.0,65,61,65,54,53,64,59,62,63,64,55,54,58,71,48,57,63,56,179
13338,Neskes,"CM, CAM",63,76,1100000.0,1000.0,19,2024.0,64,62,63,46,46,70,60,66,67,65,57,58,52,62,51,58,45,63,177
7626,M. Wunderlich,"CAM, ST",67,67,425000.0,2000.0,35,2022.0,69,67,69,62,60,67,66,66,69,67,71,78,66,67,65,68,68,77,184
7617,J. Williams,CAM,67,67,1100000.0,6000.0,27,2022.0,69,65,72,66,51,68,59,63,69,70,47,43,63,72,48,64,71,60,168
14684,G. Kilkenny,"CM, CAM",61,74,800000.0,4000.0,21,2025.0,62,61,64,54,45,64,50,65,63,65,60,48,56,65,66,57,57,50,173
9095,F. Soyalp,"CM, CDM, CAM",66,68,1100000.0,5000.0,26,2023.0,69,68,70,63,60,72,54,68,72,70,66,50,59,65,64,63,62,51,175
14735,S. Liseth,"ST, CAM",61,67,525000.0,850.0,23,2024.0,58,55,61,58,47,58,59,43,60,62,57,34,60,63,69,60,60,56,182
3548,Y. El Jebli,"CAM, LW",72,72,2400000.0,13000.0,28,2022.0,76,75,74,77,59,73,68,76,73,76,77,79,69,69,80,66,69,66,177
223,Isco,"CAM, CM, LW",82,82,30000000.0,175000.0,29,2022.0,81,80,88,78,67,81,76,80,91,90,88,76,75,70,59,77,83,74,176
18993,A. Lopane,CAM,51,68,150000.0,500.0,17,2022.0,48,46,58,42,44,49,36,42,60,55,41,43,51,62,70,55,58,48,170
15495,A. Lebeau,"CAM, LM",60,71,550000.0,600.0,21,2025.0,61,62,62,62,47,63,53,60,62,62,61,64,53,69,52,57,52,56,175
14553,A. Al Suwat,"CAM, RM, CM",61,63,400000.0,3000.0,26,2024.0,60,58,65,50,48,64,57,60,66,64,57,38,45,64,39,58,50,45,166
9327,Y. Maziz,"CAM, CM, LM",66,71,1300000.0,5000.0,23,2022.0,66,68,68,58,59,72,61,71,67,72,67,74,59,65,66,57,66,57,175
4191,D. Milošević,"LM, CAM, CM",71,72,2200000.0,12000.0,26,2024.0,69,70,73,68,64,72,65,70,74,73,67,65,68,67,74,68,67,49,182
9213,F. Herbers,"CAM, RM, CM",66,66,900000.0,3000.0,27,2023.0,63,65,66,66,51,70,66,60,67,68,60,59,64,63,70,66,61,66,183
3447,R. Vloet,CAM,72,74,2900000.0,7000.0,26,2023.0,74,70,70,65,67,73,76,66,72,73,67,65,67,62,87,76,69,74,188
3585,Calegarcinho,"ST, CAM",72,72,800000.0,17000.0,37,2024.0,60,62,65,28,68,81,76,77,64,69,38,42,72,64,76,77,61,64,175
15102,M. Ouadah,"CAM, LM, CM",61,62,375000.0,1000.0,26,2023.0,59,59,69,59,49,64,48,56,71,70,46,43,57,65,44,51,61,55,175
15011,C. Sandra,"CAM, LM, CF",61,80,825000.0,550.0,17,2023.0,57,61,65,58,57,66,60,57,64,65,58,59,53,65,58,49,50,60,183
15125,Ricardinho,"CAM, CM",61,67,525000.0,1000.0,22,2025.0,56,59,67,59,54,63,45,61,68,69,53,45,60,63,41,59,61,53,178
3679,S. Peña,"CAM, CM",72,77,3400000.0,7000.0,25,2024.0,78,76,73,80,68,73,64,76,74,74,72,71,68,67,75,68,70,71,178
8825,T. Antonis,"CM, CAM, CDM",66,67,975000.0,3000.0,27,2024.0,68,67,67,66,57,66,60,68,66,67,67,63,65,69,64,62,71,64,180
15077,M. Cachbach,CAM,61,71,725000.0,2000.0,20,2022.0,63,65,62,59,49,70,50,74,63,64,59,49,51,60,48,60,63,54,181
14948,O. Sijarić,"CAM, RM, ST",61,71,700000.0,1000.0,19,2024.0,63,59,64,51,36,63,46,62,65,63,53,38,56,67,57,57,59,43,179
15159,R. Meerveld,"CAM, CM",61,77,825000.0,600.0,18,2025.0,59,57,68,51,46,62,53,55,71,70,60,46,53,64,45,55,66,55,177
8706,O. Bozanic,"CM, CAM",66,66,675000.0,1000.0,32,2022.0,63,65,67,66,60,66,59,63,65,67,69,68,61,67,82,67,65,71,179
3653,Caio Milaçar,CAM,72,72,2600000.0,10000.0,25,2024.0,76,69,76,59,69,75,72,60,75,75,68,64,74,68,68,68,79,73,170
4656,P. Zeballos,"CAM, ST",70,70,650000.0,500.0,35,2022.0,75,69,69,59,67,70,72,65,70,71,73,78,71,65,75,70,63,80,180
4665,J. Jantscher,"ST, LM, CAM",70,70,1300000.0,13000.0,32,2023.0,71,70,68,71,73,70,71,68,67,69,72,70,68,67,72,74,69,67,181
4689,Cristóbal,"CDM, CM, CAM",70,70,325000.0,3000.0,37,2022.0,73,68,69,65,59,69,62,67,68,70,62,69,62,65,73,69,70,64,181
9729,M. Portanova,"CM, CAM",66,79,2100000.0,4000.0,21,2025.0,67,68,67,64,47,75,61,70,69,69,56,54,61,65,53,72,65,68,183
13958,L. Watson,"CAM, LM",62,74,950000.0,2000.0,19,2022.0,62,60,67,46,50,68,50,60,66,69,56,48,53,68,53,57,61,56,176
3132,Fernando Boldrin,"CAM, RM",72,72,1900000.0,11000.0,32,2022.0,72,70,71,63,65,73,69,72,72,74,65,74,69,69,59,73,66,66,180
15785,M. Palavecino,"CAM, LM",60,66,400000.0,2000.0,23,2021.0,61,58,63,55,51,61,52,58,62,64,54,48,55,67,63,57,60,47,180
13968,S. Kavrazlı,"ST, CAM",62,76,950000.0,3000.0,19,2023.0,53,50,61,57,59,50,63,39,62,60,62,38,63,67,51,64,58,60,178
14045,E. Anderson,CAM,62,80,1000000.0,2000.0,18,2024.0,59,59,65,54,55,64,63,58,66,63,61,49,45,70,53,62,58,60,175
2974,D. Mihailovic,"CAM, CM, LM",73,77,4400000.0,7000.0,22,2022.0,76,73,74,70,64,76,64,70,74,75,70,64,74,68,87,72,74,55,178
4812,Y. Benzia,"CAM, CM",70,71,1900000.0,4000.0,26,2023.0,75,70,73,66,69,71,66,66,74,70,77,71,67,68,55,69,74,76,179
3006,Dani Raba,"RM, CAM",73,76,4000000.0,23000.0,25,2023.0,72,72,73,74,52,73,74,75,75,76,68,42,65,69,55,74,65,67,184
13851,César Gelabert,"CAM, LM, ST",62,78,1000000.0,1000.0,20,2023.0,55,54,64,41,35,60,66,65,67,64,42,40,58,69,57,60,57,45,182
4750,E. Çolak,"CAM, CM, LM",70,70,1500000.0,9000.0,30,2023.0,74,73,73,73,69,72,61,71,72,71,74,78,68,68,66,68,69,72,169
9473,Pablo Martínez,"LM, CAM, CM",66,75,1900000.0,7000.0,23,2024.0,65,67,64,60,47,72,54,71,63,67,56,58,62,63,70,63,62,58,182
407,A. Ramsey,"CM, CAM, LM",80,80,20000000.0,81000.0,30,2023.0,82,81,83,75,77,85,61,81,85,84,83,73,76,63,65,78,80,75,183
15637,L. Sequeira,"CAM, CF, RW",60,77,625000.0,800.0,18,2022.0,60,59,62,59,56,61,52,54,63,60,55,57,55,69,44,58,67,43,172
14305,L. Herrmann,"CM, CAM",62,70,900000.0,3000.0,22,2024.0,64,68,62,68,39,70,45,66,58,64,66,70,55,65,70,54,53,46,176
4289,Mauro Riboas,"CAM, CM",71,71,1800000.0,12000.0,29,2024.0,77,70,73,73,76,74,44,51,71,75,64,73,73,67,46,75,81,69,176
3328,T. Rogić,CAM,72,72,2400000.0,36000.0,28,2023.0,72,70,74,61,66,74,68,71,76,77,76,62,62,67,54,73,76,56,189
14390,C. Abastoflor,CAM,62,77,950000.0,500.0,19,2022.0,62,59,64,58,50,60,55,55,67,61,65,58,55,67,66,61,55,65,178
14082,A. Athanasakopoulos,CAM,62,76,950000.0,500.0,19,2022.0,63,63,67,62,45,65,51,62,66,69,65,53,51,68,52,54,60,50,178
15719,T. Suengchitthawon,CAM,60,72,600000.0,9000.0,21,2022.0,60,59,66,55,51,61,59,60,64,65,59,53,58,78,62,49,64,54,167
12904,L. Sánchez,"CAM, CM",63,76,1200000.0,800.0,20,2024.0,65,58,65,48,39,60,59,57,66,62,61,62,61,64,71,60,52,56,175
17417,J. Castrop,"CAM, RM",57,77,450000.0,550.0,17,2023.0,58,58,63,58,46,65,37,49,60,62,56,45,52,68,50,48,55,40,177
11317,D. Kort,"CM, CDM, CAM",64,66,725000.0,1000.0,26,2022.0,68,63,67,53,47,66,55,65,65,67,65,60,66,67,70,60,67,49,176
2096,L. Castro,"CM, CAM, LM",74,74,3300000.0,17000.0,32,2022.0,76,76,77,76,67,78,61,74,77,79,76,68,73,69,64,74,75,68,182
11331,Álvaro Peña,"CAM, ST, LM",64,64,575000.0,2000.0,29,2022.0,70,68,63,64,43,70,51,69,59,66,70,66,58,71,66,65,64,65,178
17043,P. Sánchez,"CAM, ST",57,66,375000.0,600.0,23,2022.0,58,49,57,33,41,55,53,48,55,60,43,38,50,67,41,60,48,49,180
6241,C. Bassett,"CAM, CM",69,79,3000000.0,2000.0,19,2022.0,75,66,69,55,36,72,64,67,68,72,52,48,67,69,73,68,50,53,180
1218,V. Darida,"CM, CAM, CDM",76,76,7000000.0,40000.0,30,2023.0,75,74,78,70,65,76,67,75,78,78,78,69,75,68,95,72,79,76,172
7027,Borja Lasso,CAM,68,69,1400000.0,4000.0,27,2022.0,71,67,69,68,52,67,67,65,70,69,63,64,65,68,63,69,72,67,177
17768,M. Robberechts,"CM, CDM, CAM",56,74,350000.0,500.0,17,2024.0,55,57,58,54,38,62,44,60,57,60,54,42,48,67,54,46,50,40,177
12070,A. Aganović,"CAM, CM, RW",64,64,375000.0,3000.0,33,2022.0,64,65,67,64,52,68,53,61,66,68,67,53,62,69,70,66,61,52,180
6251,H. Calcaterra,"CM, CAM",69,69,1100000.0,550.0,32,2022.0,70,71,70,72,41,74,54,68,70,72,65,55,65,67,80,61,72,75,177
11407,T. Ciğerci,CAM,64,65,700000.0,1000.0,26,2023.0,58,63,69,68,42,65,59,63,67,71,68,38,59,73,66,59,57,47,180
2048,M. Ninković,"CAM, LM",74,74,1400000.0,7000.0,36,2022.0,78,73,76,69,66,76,68,69,76,78,69,64,68,63,71,69,71,70,180
17515,I. El Mizouni,"CM, CAM",56,71,350000.0,2000.0,20,2022.0,58,53,59,40,46,59,47,54,59,58,41,60,56,68,63,56,46,41,185
2010,R. Boudebouz,"CAM, RM",74,74,3500000.0,27000.0,31,2022.0,75,75,76,76,68,75,73,73,77,77,78,76,72,65,58,72,72,85,177
17818,T. Staubli,CAM,55,69,300000.0,1000.0,21,2022.0,51,51,59,52,43,56,48,47,57,59,43,37,49,65,35,54,45,42,179
10905,A. Molinas,CAM,65,78,1700000.0,3000.0,20,2025.0,70,65,65,55,44,70,56,67,66,67,51,57,57,65,68,60,54,44,175
6727,R. Sigurjónsson,"CM, CAM",68,68,1000000.0,7000.0,31,2023.0,70,69,70,65,67,71,67,67,69,73,69,74,64,67,78,68,71,75,178
12182,P. Rommens,CAM,64,68,850000.0,2000.0,23,2023.0,64,65,64,55,40,72,59,70,62,66,55,48,60,67,67,57,54,57,175
5684,A. Pritchard,CAM,69,69,1400000.0,7000.0,28,2023.0,72,71,72,70,63,70,65,68,69,74,75,75,65,71,63,65,69,66,171
10870,A. Souper,"CAM, CM",65,76,1600000.0,1000.0,22,2021.0,67,61,69,54,38,67,58,58,71,68,42,45,53,67,62,55,54,44,173
16780,F. Dele-Bashiru,"CM, CAM",58,73,500000.0,950.0,20,2022.0,48,54,62,45,39,65,32,62,60,64,40,29,52,65,71,62,62,40,176
11812,H. Abdelli,"CF, ST, CAM",64,71,1200000.0,2000.0,21,2022.0,68,59,66,48,50,65,57,59,70,68,45,47,63,67,63,55,65,41,188
17327,N. Hernandez,"CM, CDM, CAM",57,68,375000.0,1000.0,22,2022.0,63,55,66,48,44,58,50,52,67,67,55,41,49,70,48,60,65,41,180
11686,D. Mandroiu,"LW, CAM",64,71,1200000.0,1000.0,22,2022.0,69,64,66,63,56,64,59,59,64,67,63,69,59,68,63,60,68,64,180
7309,Bruno Lourenço,"CAM, CF, ST",68,77,2700000.0,3000.0,23,2023.0,69,70,70,64,53,76,57,70,72,69,66,64,62,67,61,64,64,56,179
17177,L. Schleimer,"CAM, CM, LW",57,67,375000.0,2000.0,21,2022.0,55,55,60,55,41,59,53,49,59,61,48,47,46,69,44,53,44,43,180
2484,V. Stocker,"LM, RM, CAM",73,73,2400000.0,13000.0,32,2023.0,79,75,73,74,73,75,66,72,73,75,74,72,70,64,65,74,66,61,179
12410,D. Ubbink,"CAM, LM",63,63,475000.0,2000.0,28,2022.0,59,64,64,62,49,70,57,68,63,64,53,48,57,65,57,57,62,58,180
17747,F. Weiler,"CAM, LM, RM",56,76,400000.0,550.0,18,2022.0,56,50,64,43,46,53,46,51,63,63,47,42,55,65,59,42,57,47,174
7258,L. Sibley,"CAM, RM",68,82,2900000.0,4000.0,19,2024.0,67,63,69,52,41,70,70,65,71,69,49,43,59,70,64,64,60,29,180
11126,V. Koman,"CM, CAM",64,64,450000.0,700.0,32,2022.0,69,69,64,65,63,73,60,70,64,63,65,65,61,68,48,62,60,66,173
12554,G. Lapslie,"CM, CAM",63,69,750000.0,4000.0,23,2023.0,62,60,64,55,50,66,58,63,62,64,47,34,61,68,73,60,60,44,180
17744,B. Hompesch,"CAM, CM",56,72,350000.0,500.0,18,2023.0,53,51,59,40,42,58,51,56,59,54,40,40,56,71,50,54,57,44,178
11644,R. Preißinger,"CDM, CM, CAM",64,69,800000.0,4000.0,24,2022.0,61,58,61,58,41,61,54,61,60,60,41,38,61,66,90,45,62,48,185
11243,K. Pusch,"CAM, LM",64,64,600000.0,2000.0,28,2023.0,65,63,65,55,71,66,60,62,62,66,65,62,65,67,76,60,62,54,181
12903,M. Miljevic,"LW, LM, CAM",63,80,1300000.0,2000.0,20,2024.0,63,60,66,63,38,62,59,57,68,67,41,47,60,65,67,59,57,49,178
3020,A. Cicâldău,"CM, CAM",73,79,4800000.0,35000.0,23,2026.0,73,73,73,69,57,74,66,72,70,73,73,75,70,66,90,70,71,73,178
14034,D. Zalzman,"CM, CAM",62,66,550000.0,500.0,25,2025.0,60,62,63,58,57,66,63,59,62,66,68,70,60,67,67,53,59,58,173
18647,A. Bahusayn,"CM, CAM",53,64,200000.0,4000.0,20,2025.0,42,53,56,53,40,61,48,57,54,61,44,38,51,68,57,46,43,43,170
13895,A. Al Meqran,"CAM, LW, CF",62,69,800000.0,3000.0,24,2022.0,58,57,65,55,44,59,62,58,62,67,57,46,59,65,67,65,58,57,179
1482,L. Refaelov,"CF, CAM, ST",75,75,2400000.0,18000.0,35,2023.0,78,75,79,73,73,75,74,71,80,77,82,83,72,72,76,78,80,78,175
14250,De Tomás,"LM, RM, CAM",62,75,950000.0,3000.0,20,2023.0,58,59,63,64,50,63,61,51,65,66,53,46,49,67,53,55,54,50,172
18645,A. Atif,CAM,53,67,230000.0,2000.0,20,2025.0,52,50,56,49,35,53,48,47,56,54,44,38,49,66,48,49,55,47,173
9694,K. Ruiz-Atil,"CAM, CM",66,81,2000000.0,10000.0,18,2024.0,64,64,72,54,52,70,53,65,72,71,68,59,59,69,59,60,69,58,173
14016,Tòfol Montiel,CAM,62,74,975000.0,6000.0,21,2023.0,60,58,67,52,52,62,54,58,68,68,56,52,58,66,50,58,60,56,178
14322,Unai Rementería,"CM, CAM",62,69,800000.0,1000.0,21,2024.0,59,60,57,53,47,66,51,65,56,58,48,43,56,65,73,64,53,55,182
13998,L. Clarkson,"CM, CAM, CDM",62,78,1000000.0,8000.0,19,2022.0,66,63,66,56,48,66,44,65,65,65,58,57,59,70,61,53,57,50,175
4732,N. Đurđić,"ST, CAM",70,70,675000.0,2000.0,35,2023.0,67,63,68,59,68,65,69,59,66,68,66,53,78,66,68,79,68,67,184
3250,Y. Court,"RM, LM, CAM",72,72,1900000.0,6000.0,31,2022.0,74,73,73,75,32,73,67,72,72,73,71,67,72,70,68,70,67,60,172
3269,N. Powell,"CAM, CM",72,73,2700000.0,21000.0,27,2022.0,75,68,73,61,59,68,73,69,71,74,66,63,74,69,69,76,74,68,183
12327,D. Meza Colli,"CDM, CM, CAM",63,63,325000.0,2000.0,32,2022.0,62,58,57,48,49,64,43,62,47,64,44,48,63,66,78,52,61,47,179
11229,N. DeLeon,"RM, LM, CAM",64,64,575000.0,2000.0,30,2021.0,61,63,64,63,55,65,56,62,64,64,69,59,60,71,68,63,61,49,178
12348,R. Towell,"CM, RW, CAM",63,63,475000.0,1000.0,29,2025.0,64,63,63,59,56,65,57,64,60,62,59,63,62,67,75,59,64,64,173
5948,A. Ćorić,"CAM, CM",69,74,2100000.0,18000.0,24,2022.0,70,69,72,70,56,70,63,66,70,72,67,71,67,75,66,65,67,58,176
1508,A. Lallana,"CM, CAM, RW",75,75,3500000.0,49000.0,33,2023.0,80,78,79,74,72,81,69,75,80,81,77,66,73,70,34,74,80,70,178
18704,S. Lalmuanpuia,"CAM, ST",52,61,180000.0,500.0,22,2022.0,55,52,56,46,42,52,45,51,53,50,55,60,45,66,72,46,56,51,172
9714,Larrubia,CAM,66,80,2000000.0,2000.0,19,2022.0,64,65,70,60,50,70,58,64,71,68,62,52,51,71,44,62,68,55,172
4693,Marc Mateu,"LM, LB, CAM",70,70,1300000.0,7000.0,31,2023.0,69,69,70,71,67,67,63,70,70,70,72,73,70,65,75,67,68,74,180
17630,A. Al Dawsari,"LM, CAM",56,56,150000.0,3000.0,27,2022.0,52,53,61,48,46,56,54,52,60,58,47,60,42,69,50,51,41,48,168
437,T. Savanier,"CM, CAM",80,80,20500000.0,35000.0,29,2023.0,84,83,82,83,62,83,71,82,81,82,81,79,77,70,78,74,83,75,172
14069,E. Sierra,CAM,62,76,950000.0,950.0,19,2024.0,55,57,67,38,42,68,52,64,64,70,50,52,56,69,49,49,56,41,170
18767,R. Duncan,CAM,52,73,250000.0,500.0,17,2022.0,53,50,54,41,41,54,42,52,51,53,49,40,47,66,34,46,49,45,178
17636,B. McCormack,"CAM, CM",56,73,350000.0,500.0,18,2022.0,55,54,58,55,44,55,53,52,56,57,54,50,50,66,58,55,55,50,180
15700,S. Onur,"LW, CAM",60,71,525000.0,1000.0,18,2024.0,48,53,66,50,42,62,64,49,66,67,44,41,47,69,45,56,49,59,175
6327,H. Novick,"CAM, CF, RW",69,69,1100000.0,650.0,32,2021.0,72,70,66,71,65,69,65,66,59,71,71,69,66,66,64,74,70,75,173
15201,J. Al Zoaed,"CAM, LM",60,60,200000.0,2000.0,32,2022.0,57,58,61,53,38,62,55,50,57,62,63,66,55,68,65,61,53,56,176
17061,J. Svedberg,"CM, CAM",57,64,325000.0,750.0,22,2022.0,51,53,60,42,32,63,41,60,60,59,38,33,53,68,67,56,48,37,178
8975,J. Harrop,"CAM, LM",66,70,1200000.0,10000.0,25,2022.0,69,68,68,71,56,67,64,61,66,67,74,75,60,70,52,65,64,56,175
8988,S. López,"CM, CAM",66,66,675000.0,500.0,32,2022.0,70,67,68,59,54,70,63,68,67,70,68,69,64,70,61,62,65,59,178
3962,D. Drexler,"CAM, CM, LM",71,71,1600000.0,9000.0,31,2023.0,74,70,73,68,64,74,66,66,73,71,68,52,72,72,73,66,74,58,182
6338,J. Recalde,"ST, CAM, LM",69,69,1400000.0,750.0,29,2023.0,48,49,67,34,72,63,75,30,71,66,55,66,63,66,70,69,60,67,178
17186,G. Acosta,CAM,57,71,400000.0,1000.0,21,2021.0,61,50,63,37,42,50,52,47,62,61,52,68,52,67,46,52,59,44,170
35,T. Müller,"CAM, RM, RW",87,87,66000000.0,140000.0,31,2023.0,85,83,80,85,84,85,88,79,77,84,81,59,94,66,86,96,84,70,185
1815,R. Krunić,"CM, CAM",75,75,6000000.0,33000.0,27,2024.0,74,74,75,68,66,78,70,76,76,78,68,70,73,68,72,70,68,66,184
8837,T. Moulin,"CDM, CM, CAM",66,66,600000.0,2000.0,31,2023.0,62,63,66,62,53,63,60,65,63,66,64,65,66,69,83,62,67,66,174
17244,A. Ișfan,"CAM, RM, LM",57,67,375000.0,1000.0,21,2025.0,58,60,58,67,38,60,53,55,59,54,56,57,68,68,66,42,43,58,177
15156,Daniel Penha,CAM,61,68,675000.0,550.0,22,2022.0,62,62,66,51,37,67,51,62,66,67,54,72,51,68,60,46,56,68,170
8723,F. Santos,"CAM, LM, RM",66,66,400000.0,4000.0,34,2022.0,70,65,70,66,52,65,63,63,72,70,55,55,59,70,65,64,67,78,175
17299,E. Azcona,"LW, CAM",57,76,400000.0,500.0,17,2022.0,50,49,64,49,38,54,54,38,64,58,48,37,50,70,52,50,53,60,168
3681,Pedro Díaz,"CDM, CM, CAM",72,80,4900000.0,7000.0,23,2025.0,75,75,72,70,58,76,70,74,69,75,79,82,72,68,74,66,67,65,180
14962,O. Romeny,"ST, LW, CAM",61,71,750000.0,2000.0,21,2022.0,57,50,62,33,54,59,60,44,68,62,55,38,59,66,58,57,46,61,185
4046,H. Canteros,"CAM, CM, CDM",71,71,1500000.0,10000.0,32,2021.0,77,73,70,68,57,72,61,71,70,72,79,77,68,65,73,71,68,69,176
14543,A. Evans,"CAM, RM",61,70,725000.0,2000.0,22,2022.0,61,59,63,54,53,63,51,52,63,65,55,58,60,66,65,57,58,55,186
6722,J. Cevallos,"CAM, CM",68,71,1600000.0,500.0,26,2023.0,70,68,64,64,70,70,75,67,65,64,72,67,59,64,73,70,66,70,186
6157,G. Bouzoukis,"CAM, RM, CM",69,76,2800000.0,500.0,23,2022.0,70,72,69,70,36,75,58,74,68,71,70,68,67,68,64,63,59,43,172
15563,L. Egloff,"CAM, CF",60,80,675000.0,1000.0,18,2024.0,61,58,65,52,44,64,61,55,65,66,50,39,40,69,54,60,56,53,182
6146,Alfa Semedo,"CDM, CM, CAM",69,75,2000000.0,4000.0,23,2026.0,60,59,69,49,55,65,49,62,70,71,55,44,68,65,76,65,69,47,190
14425,K. Ward,"CAM, LM",61,61,325000.0,700.0,30,2021.0,64,60,62,56,52,61,57,59,59,62,62,61,58,68,66,57,56,61,168
15548,E. Tortolero,"CAM, RW",60,68,550000.0,500.0,23,2022.0,67,59,58,46,53,60,51,57,59,52,64,65,61,65,62,64,63,46,174
14681,J. Stroud,"RM, LM, CAM",61,64,450000.0,1000.0,24,2021.0,51,56,61,48,45,65,52,62,60,61,47,43,60,66,76,58,51,45,178
14698,J. van der Gaag,CAM,61,72,725000.0,1000.0,22,2022.0,62,63,65,57,58,67,50,67,65,64,65,54,50,67,55,50,57,52,177
234,H. Çalhanoğlu,"CAM, LM",82,83,35000000.0,115000.0,27,2024.0,86,84,85,81,74,85,75,83,86,88,85,85,78,72,75,77,78,78,178
283,Dani Olmo,"CAM, CF",82,87,46000000.0,78000.0,23,2024.0,83,81,86,78,76,84,74,79,86,86,72,75,83,77,80,82,82,66,179
4154,O. Ntcham,"CM, CAM",71,76,2700000.0,18000.0,25,2024.0,75,72,75,68,66,74,61,72,75,77,73,70,59,69,73,68,77,72,180
12146,J. Fujita,"CDM, CAM",64,75,1200000.0,600.0,19,2022.0,55,57,62,44,41,66,56,63,60,63,45,53,55,76,67,57,51,51,172
15508,K. Struski,"CAM, RM",60,70,550000.0,1000.0,20,2023.0,60,56,60,42,32,63,53,58,58,61,47,41,55,67,56,60,41,40,172
17235,R. Cielemęcki,"CM, CAM",57,73,425000.0,500.0,18,2024.0,57,57,58,53,39,62,44,58,54,58,49,42,54,68,68,53,48,45,173
13875,D. Gąska,"CAM, CF, RM",62,66,575000.0,900.0,24,2024.0,62,60,65,58,31,64,52,60,63,64,50,45,54,69,55,58,56,48,176
10143,P. Lipski,"CAM, CM",65,66,825000.0,3000.0,27,2022.0,66,64,65,59,45,66,61,65,63,65,58,65,62,71,77,60,62,62,186
822,Y. Yazıcı,"CF, ST, CAM",78,82,20500000.0,36000.0,24,2024.0,79,79,80,77,72,81,74,75,82,82,82,76,76,63,76,77,78,69,185
13135,I. Șerban,"CM, CDM, CAM",63,63,475000.0,2000.0,29,2023.0,59,62,64,48,57,70,50,66,64,65,53,63,58,66,67,62,62,52,176
10447,C. Herc,"CM, CAM",65,74,1600000.0,3000.0,22,2023.0,67,65,67,60,65,68,61,67,69,69,60,55,67,68,73,64,66,57,185
11012,Y. Kallon,"RW, CF, CAM",65,82,1900000.0,4000.0,20,2022.0,62,55,71,50,60,60,66,42,76,70,68,47,57,69,67,60,63,70,175
11017,P. Greil,"CAM, CM, CDM",65,69,1000000.0,3000.0,24,2022.0,64,64,67,64,49,65,58,65,67,68,65,58,65,67,78,57,65,49,184
5725,S. Doukara,"CAM, ST",69,69,1400000.0,8000.0,29,2023.0,70,66,70,60,64,69,68,65,73,72,65,49,66,66,71,70,75,61,183
10158,G. Kiltie,"LM, LW, CAM",65,70,1100000.0,2000.0,24,2023.0,61,61,67,62,49,65,58,58,67,66,47,45,61,68,67,57,60,57,173
5317,Bruno Lamas,"CAM, CM",70,71,1800000.0,5000.0,27,2024.0,72,69,72,60,41,73,57,70,73,76,63,67,67,66,72,70,61,60,176
5046,A. De Sart,"CM, CDM, CAM",70,75,2400000.0,10000.0,24,2022.0,71,70,70,65,67,73,59,71,69,70,73,66,68,68,68,68,69,58,180
7429,O. Filippov,"ST, CF, CAM",68,68,1200000.0,7000.0,28,2023.0,51,53,67,46,67,61,70,41,68,68,63,56,66,66,62,71,73,75,183
16684,A. Bakhat,"CM, CAM",58,69,450000.0,750.0,21,2022.0,60,60,63,52,44,66,39,63,62,60,50,45,55,69,53,49,56,49,180
16362,M. Ibrahimi,"LW, CAM, RW",59,76,575000.0,4000.0,18,2022.0,56,53,66,56,45,55,53,42,69,66,57,38,44,69,47,51,57,40,181
7449,L. García,CAM,68,68,750000.0,500.0,33,2021.0,70,68,67,61,55,70,65,67,68,65,71,76,67,65,71,67,55,70,177
16661,O. Cooper,"CAM, RW, LW",58,70,500000.0,3000.0,21,2022.0,56,59,61,54,48,66,51,62,61,60,51,50,53,66,60,55,62,56,174
10463,A. Seydel,"ST, LM, CAM",65,68,950000.0,4000.0,25,2022.0,59,53,65,59,59,58,62,35,68,71,43,31,58,67,34,63,68,55,199
7445,N. Fagioli,"CM, CAM",68,83,2900000.0,18000.0,20,2023.0,68,70,73,63,68,73,50,73,73,75,72,65,64,67,69,55,68,63,178
10105,F. Montero,"CM, CAM, CDM",65,65,550000.0,3000.0,32,2022.0,57,61,65,57,56,65,47,67,64,66,55,51,67,66,70,66,55,56,167
16359,F. Chamorro,CAM,59,71,525000.0,500.0,19,2021.0,54,59,61,55,45,65,49,61,60,64,52,45,49,67,55,53,54,48,184
12871,M. Collao,"CM, CDM, CAM",63,65,625000.0,900.0,23,2021.0,68,67,67,57,49,72,59,66,66,68,57,72,46,65,67,65,68,57,173
18265,V. Borcea,"CM, CAM, CDM",54,71,275000.0,550.0,19,2025.0,55,53,55,42,33,60,36,57,53,54,39,32,52,66,54,55,47,44,175
13365,L. Damer,"CAM, ST",63,73,1100000.0,500.0,21,2025.0,62,63,67,64,52,66,58,61,67,65,53,52,57,66,56,58,58,50,178
