,Name ,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,club_contract_valid_until,weak_foot,pace,shooting,physic,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_strength,mentality_positioning,mentality_penalties,height_cm
13297,A. Katsantonis,ST,63,73,1100000.0,500.0,21,181,2025.0,3,63,59,58,58,55,68,63,28,68,67,60,58,70,68,60,56,68,66,58,181
1527,N. Kalinić,ST,75,75,3600000.0,27000.0,33,187,2022.0,4,63,74,67,79,77,74,74,50,76,59,67,69,78,55,77,65,73,81,70,187
7495,C. Jerome,ST,67,67,500000.0,6000.0,34,185,2022.0,2,63,67,75,68,68,57,68,55,65,58,67,64,67,58,70,78,78,68,65,185
6404,B. Ogbeche,ST,68,68,400000.0,600.0,36,179,2022.0,4,63,72,77,73,61,53,68,61,65,61,65,61,66,64,75,82,81,75,71,179
6101,C. Ramirez,"ST, CAM",69,69,1400000.0,5000.0,30,188,2023.0,3,63,70,75,70,66,64,62,41,73,61,64,66,67,64,72,74,78,75,68,188
1709,A. Mitrović,ST,75,76,6500000.0,53000.0,26,189,2024.0,4,63,76,84,76,80,70,73,52,76,55,69,67,76,63,82,84,91,77,73,189
17829,Xie Weijun,"RM, ST, CM",55,59,180000.0,2000.0,23,188,2022.0,3,63,55,61,56,56,52,41,34,51,70,57,60,59,42,56,71,73,60,58,188
11049,Marcelo dos Santos,ST,65,71,1100000.0,3000.0,23,187,2023.0,3,63,69,62,71,66,50,57,40,58,62,64,54,64,58,70,66,67,63,69,187
17998,O. Al Ruwaili,ST,55,64,275000.0,2000.0,22,179,2024.0,3,63,57,54,61,61,49,50,36,53,64,62,56,50,69,51,62,57,51,60,179
17810,M. Ramkilde,ST,55,64,275000.0,3000.0,23,187,2022.0,2,63,54,59,56,54,55,47,38,52,68,59,57,51,56,55,49,67,56,40,187
7069,A. Pinamonti,ST,68,75,2500000.0,28000.0,22,188,2022.0,3,63,70,62,73,70,53,72,47,74,64,63,62,67,64,68,64,66,70,69,188
17073,S. Bergier,ST,57,66,375000.0,1000.0,21,184,2023.0,2,63,56,57,59,61,58,43,30,58,62,64,67,53,61,55,74,60,55,69,184
1245,N. Füllkrug,ST,76,76,7500000.0,16000.0,28,189,2023.0,4,63,78,73,80,80,67,71,69,74,61,64,59,75,52,79,70,81,82,78,189
16616,T. O'Neill,ST,58,70,500000.0,2000.0,21,186,2023.0,3,63,59,65,60,57,51,54,44,54,62,64,56,55,64,61,66,72,57,60,186
15076,G. Furrer,"ST, CF",61,71,725000.0,800.0,20,182,2022.0,3,63,61,54,64,54,56,59,48,61,63,63,71,59,71,63,51,59,62,58,182
10816,T. Vecino,ST,65,75,1600000.0,500.0,22,183,2021.0,3,63,66,56,69,73,62,64,39,68,60,66,70,61,62,63,77,55,69,73,183
6996,W. González,ST,68,71,1600000.0,600.0,26,185,2024.0,3,63,68,67,67,74,51,69,25,66,62,63,62,66,50,73,80,71,72,66,185
16802,M. Romero,ST,58,74,525000.0,500.0,19,179,2022.0,3,63,55,56,65,60,51,41,27,52,63,63,60,65,72,47,66,65,60,57,179
7430,Iván Azón,ST,68,82,2800000.0,2000.0,18,182,2024.0,2,63,68,80,70,74,70,65,28,65,62,63,52,60,71,68,71,85,65,66,182
17493,J. Martin,"CAM, ST, RM",56,62,230000.0,500.0,22,185,2021.0,3,63,55,56,56,56,58,52,53,58,61,65,62,51,62,55,57,55,57,52,185
16426,T. Bierschenk,ST,59,70,475000.0,500.0,18,181,2023.0,3,63,60,67,60,58,53,54,33,61,65,61,63,51,64,64,71,66,60,55,181
2538,F. Klos,ST,73,73,1900000.0,22000.0,33,194,2022.0,4,63,73,81,74,80,69,72,45,67,51,73,41,76,43,78,71,91,76,80,194
12120,E. Shuranov,ST,64,77,1400000.0,2000.0,19,184,2023.0,4,63,66,71,71,68,49,53,31,57,60,65,67,57,63,66,73,81,62,66,184
18100,A. Besio,ST,55,76,400000.0,500.0,17,185,2023.0,2,63,53,58,55,52,49,43,30,51,64,62,54,55,51,52,65,72,57,60,185
17125,J. Rennicks,ST,57,68,375000.0,1000.0,22,180,2021.0,3,63,58,56,60,62,53,35,25,56,62,63,64,50,64,65,67,60,53,60,180
17762,Z. Labyad,"ST, RW",56,64,325000.0,1000.0,21,180,2025.0,3,63,58,46,60,61,40,38,33,54,62,63,58,56,70,56,66,47,55,67,180
14575,C. Huanca,ST,61,75,800000.0,1000.0,20,184,2023.0,3,63,60,58,67,65,44,41,37,58,61,64,62,55,56,63,64,68,64,62,184
18564,H. Al Ali,ST,53,71,240000.0,3000.0,19,177,2024.0,3,63,54,52,56,53,37,50,49,51,62,64,51,51,73,52,68,54,52,58,177
18971,Lalkhawpuimawia,"ST, LM",51,51,60000.0,500.0,29,175,2022.0,3,63,53,51,58,55,36,42,32,48,62,64,62,50,78,48,72,50,48,58,175
9244,P. Tietz,ST,66,72,1400000.0,5000.0,23,190,2024.0,3,63,67,74,69,65,63,53,25,65,61,64,63,64,55,66,71,81,69,68,190
3454,E. Crivelli,"ST, LW",72,74,2900000.0,27000.0,26,184,2022.0,3,63,70,85,69,78,70,69,49,71,56,69,61,74,45,78,78,87,75,62,184
18534,W. Lalnunfela,ST,53,56,130000.0,500.0,25,179,2022.0,2,63,55,56,56,56,42,46,34,49,61,64,56,45,71,57,65,60,51,57,179
7912,Pablo Pérez,"CAM, ST, LM",67,67,1100000.0,4000.0,27,188,2022.0,3,63,65,66,67,78,70,63,60,69,56,68,68,62,38,64,88,72,68,70,188
14491,Y. Bnou-Marzouk,ST,61,65,450000.0,2000.0,25,180,2022.0,3,63,62,56,61,61,51,66,37,62,71,56,73,54,70,66,76,61,61,60,180
18631,Z. Silini,ST,53,70,240000.0,550.0,17,184,2025.0,3,63,53,59,60,58,45,34,38,54,62,64,58,36,56,49,63,76,50,57,184
18627,P. Sutter,"LW, ST",53,61,210000.0,2000.0,22,172,2022.0,2,63,57,47,59,39,45,49,39,55,61,65,58,35,75,70,48,50,49,60,172
18615,J. Hinds,ST,53,68,220000.0,950.0,18,175,2022.0,3,63,51,57,52,54,53,47,40,53,60,66,59,47,56,51,58,60,51,61,175
4195,Fernando Karanga,ST,71,71,1800000.0,11000.0,30,191,2021.0,3,63,71,76,74,82,66,67,32,65,72,56,61,64,34,75,77,80,74,68,191
4134,M. Ingvartsen,"CF, CAM, ST",71,73,2400000.0,19000.0,25,187,2022.0,3,63,75,72,76,69,63,73,46,74,67,60,66,70,71,79,67,74,69,64,187
15357,R. Najjarine,"CAM, ST",60,73,600000.0,1000.0,21,176,2022.0,3,63,47,50,48,39,63,40,36,68,61,65,65,53,82,50,52,56,51,46,176
15393,D. Sasaki,"CAM, CM, ST",60,69,550000.0,1000.0,21,180,2022.0,3,63,51,64,51,55,64,37,33,65,62,63,60,54,62,55,52,73,55,41,180
8510,I. Antón,"ST, CF",67,67,825000.0,500.0,32,180,2021.0,3,63,68,67,70,66,61,65,44,62,65,61,63,72,65,70,67,70,67,68,180
9715,S. Tedić,ST,66,78,2100000.0,3000.0,21,191,2024.0,4,63,65,73,68,68,63,61,46,65,56,68,62,61,58,63,71,81,67,65,191
14061,W. Álvarez,ST,62,65,525000.0,500.0,25,184,2022.0,3,63,61,63,65,70,59,63,28,59,60,66,66,55,62,59,71,67,60,60,184
3152,M. Coda,ST,72,72,1900000.0,4000.0,32,184,2022.0,4,63,74,62,76,75,62,63,68,73,67,59,62,73,64,77,53,72,75,67,184
3232,P. Testroet,ST,72,72,2300000.0,8000.0,30,186,2025.0,4,63,74,78,77,65,64,68,39,69,66,61,60,70,74,78,76,84,77,70,186
14457,O. Ademi,ST,61,61,325000.0,2000.0,29,188,2022.0,3,63,59,74,61,61,56,53,46,61,61,65,55,58,52,63,74,85,57,55,188
8070,K. Kanatsızkuş,"ST, RM, CAM",67,73,1600000.0,5000.0,24,190,2023.0,3,63,66,71,67,72,65,68,50,67,64,63,61,65,63,69,70,78,65,57,190
9827,A. Keogh,ST,65,65,300000.0,1000.0,35,183,2022.0,4,63,64,75,65,64,61,64,59,63,60,66,67,67,67,67,82,78,66,67,183
4646,Rui Fonte,ST,70,70,1300000.0,5000.0,31,181,2022.0,3,63,68,61,71,70,70,70,63,73,64,63,72,72,66,66,75,61,77,71,181
9739,V. Edvardsen,"ST, LW",66,70,1200000.0,1000.0,25,185,2022.0,3,63,68,72,70,54,58,59,55,65,62,63,57,64,70,69,60,80,72,62,185
14358,Vitinha,ST,62,72,900000.0,2000.0,21,178,2024.0,3,63,64,59,65,68,46,44,32,59,61,65,53,63,68,73,66,60,64,65,178
18295,A. Johansson,ST,54,62,240000.0,650.0,21,183,2021.0,3,63,51,53,56,53,52,35,26,57,61,64,51,51,61,46,68,56,52,64,183
3930,Y. Ōsako,"CF, ST, CAM",71,71,1600000.0,8000.0,31,182,2022.0,4,63,69,62,71,74,71,67,53,77,75,53,77,71,77,71,79,57,67,68,182
3785,S. Nurković,ST,72,72,2300000.0,850.0,29,187,2022.0,3,63,76,68,82,74,67,72,60,68,62,64,61,53,60,72,70,72,80,65,187
13472,L. Norris,ST,62,62,400000.0,2000.0,28,184,2022.0,3,63,63,73,62,63,57,57,61,59,63,63,59,57,59,67,72,80,63,69,184
8712,D. Hylton,ST,66,66,700000.0,5000.0,32,183,2022.0,3,63,65,77,67,69,59,61,40,64,62,63,68,65,68,66,76,80,68,64,183
13488,M. Lieder,ST,62,62,325000.0,3000.0,31,188,2022.0,4,63,61,70,60,59,58,48,42,63,67,59,71,61,69,67,70,73,65,68,188
3904,M. Yatabaré,ST,71,71,800000.0,10000.0,35,186,2023.0,3,63,73,75,74,75,63,60,46,69,63,63,62,66,50,79,74,81,70,67,186
7815,É. Cantero,ST,67,67,425000.0,500.0,35,178,2021.0,4,63,67,68,73,73,54,61,25,62,62,63,62,65,61,69,88,80,76,77,178
2756,J. Pohjanpalo,ST,73,74,3600000.0,39000.0,26,186,2022.0,3,63,74,70,75,75,69,75,45,71,64,63,67,74,66,78,70,76,75,59,186
768,L. Alario,ST,78,78,14500000.0,56000.0,28,184,2024.0,3,63,78,75,83,85,69,80,43,78,66,60,68,77,71,79,87,78,84,77,184
183,W. Weghorst,ST,83,83,37000000.0,95000.0,28,197,2023.0,3,63,83,86,87,92,76,83,37,79,59,66,62,85,44,86,79,89,88,71,197
6902,O. Oularé,ST,68,71,1600000.0,17000.0,25,196,2024.0,3,64,69,74,65,73,67,67,29,62,60,67,45,64,33,80,63,94,67,68,196
8331,B. Nygren,"RW, ST, CAM",67,76,2200000.0,4000.0,19,184,2022.0,3,64,65,59,68,52,70,55,51,71,60,68,62,60,64,58,69,66,67,64,184
9380,S. Demhasaj,ST,66,70,1200000.0,5000.0,25,191,2023.0,3,64,69,58,70,65,52,61,40,68,59,68,65,58,42,67,71,70,66,69,191
15068,Iker Unzueta,"ST, LM",61,68,675000.0,1000.0,22,184,2022.0,3,64,65,57,71,68,51,53,50,55,63,65,65,57,58,57,57,66,54,70,184
8743,J. Fernandez,ST,66,66,300000.0,500.0,38,188,2021.0,3,64,63,70,66,73,58,54,45,64,63,64,39,66,38,70,35,87,69,55,188
18801,E. Peraza,ST,52,64,190000.0,500.0,20,163,2022.0,3,64,52,46,57,51,35,38,29,54,60,67,62,45,62,48,66,40,56,58,163
14392,V. Yakovlev,ST,62,75,950000.0,5000.0,19,185,2024.0,4,64,64,52,68,62,59,44,37,61,63,64,50,64,57,57,62,60,61,72,185
5975,Sevinho Santos,"ST, CF",69,69,1700000.0,6000.0,21,180,2024.0,3,64,66,61,66,72,52,60,56,71,61,66,65,72,61,68,72,71,77,57,180
16761,A. Allemeersch,ST,58,72,475000.0,2000.0,19,183,2023.0,3,64,58,51,64,62,43,60,38,58,62,65,54,50,59,61,64,61,54,57,183
2203,S. Mounié,ST,74,76,5500000.0,19000.0,26,190,2024.0,3,64,73,80,74,84,68,68,41,74,61,66,58,69,52,76,92,84,76,66,190
8798,J. Marquis,ST,66,66,850000.0,5000.0,29,185,2022.0,4,64,66,83,67,70,54,62,45,59,63,65,60,65,66,69,82,83,69,67,185
9523,D. Chambost,"CAM, CM, ST",66,72,1400000.0,5000.0,23,177,2022.0,2,64,64,65,64,55,69,59,53,67,69,59,68,60,67,67,60,67,61,59,177
5887,Juan Muñoz,"ST, CAM",69,74,2100000.0,7000.0,25,179,2023.0,3,64,72,66,72,66,63,70,65,71,65,64,67,66,62,74,64,67,68,72,179
16810,V. Dahlström,"ST, LW",58,64,325000.0,700.0,24,186,2022.0,3,64,59,60,65,61,45,47,35,53,63,65,55,58,55,53,62,67,56,62,186
2176,M. Diagne,ST,74,74,4200000.0,50000.0,29,191,2023.0,4,64,76,73,78,83,61,68,48,70,65,64,41,73,39,81,61,88,77,72,191
15114,L. Varaldo,ST,61,73,775000.0,2000.0,19,176,2023.0,3,64,65,63,64,60,53,64,39,60,64,64,61,52,74,73,65,70,57,67,176
17742,H. Far,ST,56,67,300000.0,650.0,19,179,2025.0,3,64,60,45,66,56,43,46,39,48,63,65,57,55,72,53,69,44,61,61,179
8370,F. Pierrot,ST,67,70,1300000.0,4000.0,26,194,2023.0,3,64,69,79,71,65,58,61,33,63,59,68,51,57,32,80,69,92,67,60,194
17288,J. Perruzza,"ST, RW",57,68,375000.0,1000.0,20,185,2021.0,2,64,60,56,60,56,43,53,53,56,62,65,53,52,61,64,63,68,54,59,185
14314,F. Higl,ST,62,68,625000.0,1000.0,24,194,2023.0,3,64,61,69,65,66,58,46,23,62,54,72,52,50,41,66,63,81,59,53,194
11963,M. Beier,ST,64,78,1400000.0,3000.0,18,183,2022.0,3,64,66,42,71,61,52,52,35,63,66,62,66,68,74,66,61,40,71,61,183
14658,L. Buades,"RM, ST",61,68,650000.0,900.0,23,180,2024.0,3,64,57,55,60,47,59,55,43,65,66,63,63,53,61,56,50,62,60,55,180
6732,S. Sáez,ST,68,68,400000.0,1000.0,36,178,2021.0,3,64,67,68,70,70,58,65,44,68,58,68,65,68,59,69,62,78,72,75,178
4145,P. Velázquez,ST,71,71,900000.0,650.0,34,191,2021.0,3,64,72,76,74,78,56,61,70,68,65,64,67,71,42,77,67,85,71,73,191
6579,D. Thomalla,"CF, CAM, ST",68,68,1200000.0,11000.0,28,186,2023.0,3,64,66,67,68,68,67,66,57,70,68,60,68,70,63,68,81,64,72,57,186
9014,J. Tanaka,"ST, LM",66,66,550000.0,3000.0,33,180,2022.0,4,64,66,64,65,64,65,66,54,67,56,70,65,63,63,66,68,73,68,72,180
11567,O. Bogle,ST,64,64,625000.0,3000.0,27,190,2022.0,5,64,64,67,65,63,60,58,48,63,66,62,63,59,54,66,64,80,66,60,190
17067,A. Jarvis,ST,57,64,325000.0,3000.0,23,188,2022.0,3,64,54,65,59,58,47,41,25,56,62,65,52,54,62,54,60,71,56,52,188
17400,B. Singh,ST,57,64,325000.0,500.0,23,173,2024.0,3,64,56,61,58,59,44,47,37,54,65,64,67,54,68,54,70,65,61,56,173
19053,Kang Jae Woo,"ST, CM",50,63,120000.0,700.0,21,179,2021.0,3,64,43,57,41,50,57,30,33,46,60,68,62,53,67,54,56,54,50,35,179
17394,A. Francke,ST,57,69,400000.0,900.0,19,180,2022.0,3,64,55,53,59,53,57,44,38,58,67,61,60,53,64,49,65,57,59,52,180
11552,G. Hirst,ST,64,74,1300000.0,17000.0,22,191,2022.0,3,64,63,67,68,67,54,54,31,60,60,68,49,60,64,67,70,77,66,64,191
11993,F. Monzón,ST,64,74,1300000.0,3000.0,20,185,2022.0,3,64,66,63,67,70,56,47,33,58,61,67,65,60,54,73,73,72,62,63,185
15255,N. Miracco,ST,60,60,240000.0,2000.0,30,175,2021.0,3,64,61,49,65,56,63,47,47,59,64,64,65,57,71,64,58,56,56,57,175
17432,Y. Ruidíaz,"ST, CAM",57,71,400000.0,500.0,19,165,2023.0,3,64,59,49,60,61,55,65,44,58,65,63,60,55,70,58,55,50,48,66,165
3491,S. Mugoša,ST,72,72,2300000.0,5000.0,29,188,2023.0,3,64,74,76,78,75,59,70,53,74,61,66,64,67,53,71,71,87,76,75,188
8683,J. Garner,ST,66,66,550000.0,4000.0,33,178,2023.0,3,64,67,77,67,70,58,66,43,64,66,63,74,66,76,68,91,71,69,69,178
326,A. Milik,ST,81,82,30000000.0,81000.0,27,186,2022.0,3,64,84,71,85,79,70,78,84,81,60,68,66,76,63,86,65,78,84,79,186
8408,A. Mance,ST,67,70,1400000.0,4000.0,25,189,2024.0,3,64,69,62,71,74,54,64,41,62,62,65,60,63,50,70,70,75,62,69,189
17155,T. Tattermusch,ST,57,68,375000.0,750.0,20,194,2024.0,3,64,58,53,61,54,50,50,36,56,65,64,69,45,69,61,47,64,54,52,194
3427,Sandro,ST,72,75,3100000.0,10000.0,25,175,2022.0,4,64,75,62,70,62,68,74,76,78,68,60,76,73,73,84,67,66,77,69,175
15181,J. Hyde,ST,60,60,210000.0,500.0,31,185,2023.0,3,64,59,70,60,60,55,51,48,59,63,65,68,58,64,59,75,74,61,60,185
15469,A. Perez,"RW, ST",60,63,325000.0,1000.0,25,183,2021.0,2,64,57,55,59,40,62,46,35,62,63,64,64,58,60,63,49,61,60,54,183
16744,A. Aravena,ST,58,73,475000.0,900.0,18,175,2023.0,3,64,57,55,57,53,49,56,56,62,68,61,70,58,68,61,67,61,57,55,175
9992,M. Mandron,ST,65,67,900000.0,3000.0,26,191,2022.0,3,64,63,78,64,64,60,55,43,65,66,63,65,62,53,67,72,82,65,60,191
2592,A. Cornelius,ST,73,73,3100000.0,24000.0,28,193,2025.0,3,64,73,80,73,80,69,68,56,70,61,67,49,68,62,79,74,92,75,65,193
13742,A. Domínguez,ST,62,69,800000.0,3000.0,24,186,2023.0,2,64,61,74,64,65,57,58,34,58,65,63,45,60,58,61,79,81,63,59,186
4906,M. Cauteruccio,"ST, RM",70,70,775000.0,8000.0,34,180,2023.0,3,64,71,71,70,73,65,66,69,70,60,68,68,68,65,74,81,74,73,74,180
15993,D. Pecirep,ST,59,59,220000.0,2000.0,29,188,2022.0,3,64,57,65,59,63,46,53,25,55,62,66,51,57,45,63,61,80,57,57,188
15992,A. Fisher,ST,59,59,190000.0,2000.0,31,191,2022.0,3,64,57,69,59,60,55,45,45,59,64,64,48,55,46,60,68,78,58,57,191
10009,T. Hopper,ST,65,65,775000.0,4000.0,27,186,2023.0,3,64,63,75,66,65,59,58,45,63,62,66,69,65,64,65,80,77,66,61,186
13021,E. López,ST,63,79,1300000.0,1000.0,19,176,2024.0,3,64,65,65,67,67,58,58,22,60,62,65,72,60,58,64,75,66,64,63,176
7878,N. Valskis,ST,67,67,650000.0,900.0,33,185,2022.0,3,64,67,73,69,68,61,66,56,67,67,62,64,63,65,69,84,80,68,59,185
18601,A. Ementa,ST,53,67,220000.0,1000.0,19,202,2023.0,3,64,50,61,52,62,43,40,23,49,62,66,58,48,34,55,66,74,51,52,202
4765,N. Nikolić,ST,70,70,2850451.813201148,9017.989362811555,33,180,2031.0,4,64,70,67,70,71,65,68,67,70,62,66,65,71,70,73,71,73,75,74,180
4730,A. Ujah,ST,70,70,1600000.0,18000.0,30,180,2022.0,4,64,70,67,70,79,60,59,43,65,65,64,66,70,66,81,92,75,69,67,180
2429,M. Rodríguez,"LW, LM, ST",73,73,2850451.813201148,10000.0,40,173,2021.0,4,64,74,64,73,61,78,71,71,76,64,64,72,72,70,77,67,70,76,77,173
12905,F. Pérez,"ST, RW",63,74,1100000.0,3000.0,22,179,2023.0,2,64,62,53,65,52,62,56,35,68,66,63,62,63,70,63,62,57,65,66,179
2535,D. Ginczek,"ST, RW",73,73,3000000.0,45000.0,30,190,2022.0,4,64,74,75,74,75,64,74,58,70,54,73,54,74,53,82,64,87,75,76,190
4783,Thiago Galhardo,"ST, CAM",70,70,1300000.0,14000.0,31,183,2022.0,3,64,74,52,79,74,62,64,39,67,65,64,53,69,60,70,62,58,65,64,183
12883,S. Abraham,"CF, ST, RW",63,63,475000.0,1000.0,30,178,2022.0,3,64,60,61,59,53,63,61,58,68,65,63,68,58,66,61,57,69,60,57,178
18207,H. Vergara,ST,54,63,240000.0,500.0,22,184,2022.0,3,64,53,60,57,50,44,46,28,47,66,63,62,56,61,54,63,69,54,51,184
5076,Arthur Silbeira,ST,70,70,1800000.0,15000.0,25,178,2024.0,3,64,73,58,74,75,66,64,53,66,65,63,42,69,68,71,65,72,62,75,178
18147,L. Mansell,ST,54,61,220000.0,950.0,23,188,2022.0,2,64,53,59,56,58,44,45,34,52,62,65,60,51,54,50,67,65,51,57,188
10248,L. Contin,ST,65,70,1100000.0,5000.0,25,183,2022.0,3,64,64,71,70,64,55,54,35,66,60,68,66,57,55,63,62,84,66,51,183
5179,Túlio Sandoiro,ST,70,70,1800000.0,10000.0,25,186,2024.0,3,64,71,71,71,66,64,75,68,75,66,62,67,73,57,73,64,79,65,70,186
10276,P. Kirkevold,ST,65,65,700000.0,1000.0,30,185,2021.0,3,64,66,72,65,61,65,59,67,65,63,65,58,61,63,72,62,73,66,70,185
13326,Renato Júnior,ST,63,78,1100000.0,1000.0,19,190,2024.0,3,64,62,67,65,68,56,53,41,62,65,64,69,60,49,66,63,76,59,65,190
13408,T. Elliott,ST,62,62,400000.0,4000.0,30,193,2022.0,3,64,59,74,60,64,55,58,48,61,65,64,53,60,49,62,68,84,62,57,193
10261,J. Arias,ST,65,68,950000.0,2000.0,26,191,2022.0,3,64,63,67,63,64,53,57,42,58,61,66,60,60,52,76,58,78,77,62,191
10079,Lee Jeong Hyeop,ST,65,65,700000.0,3000.0,30,186,2026.0,4,64,62,76,62,74,54,59,29,56,62,66,71,66,76,65,74,82,73,63,186
2883,Dagoberto Esteiro,ST,73,73,3400000.0,30000.0,25,178,2024.0,4,64,76,59,76,73,69,69,37,67,64,64,60,78,60,77,62,70,76,62,178
13097,G. Di Serio,ST,63,75,1100000.0,2000.0,19,182,2022.0,3,64,63,66,64,64,54,56,31,63,66,63,52,62,60,68,69,74,65,58,182
13218,A. Sato,ST,63,63,230000.0,1000.0,34,184,2022.0,2,64,63,67,64,67,61,61,56,58,63,64,64,57,55,66,74,71,65,61,184
13214,L. Hernández,ST,63,74,1100000.0,500.0,20,181,2025.0,3,64,63,59,66,64,61,62,45,62,66,63,62,65,58,66,63,72,57,54,181
16153,A. Roczen,ST,59,69,500000.0,650.0,21,193,2022.0,2,64,57,69,60,61,52,51,34,59,61,66,53,54,46,57,68,76,60,52,193
13529,K. Kinoshita,ST,62,65,525000.0,3000.0,26,190,2023.0,3,64,61,71,63,55,54,60,40,64,64,64,63,60,57,61,58,80,61,57,190
13184,I. Mamut,ST,63,70,975000.0,3000.0,24,192,2025.0,2,64,63,77,63,65,60,59,25,60,68,60,58,57,64,64,70,82,66,55,192
18756,C. Torres,"RW, ST",52,71,200000.0,500.0,17,178,2022.0,3,64,54,43,51,41,41,52,41,57,65,64,64,41,68,61,51,44,54,53,178
12644,C. Algarañaz,ST,63,66,650000.0,500.0,25,175,2021.0,3,64,66,56,70,64,50,58,59,66,68,60,59,57,71,69,56,55,58,73,175
5728,S. Çikalleshi,"ST, RM, LM",69,69,1400000.0,10000.0,30,185,2022.0,4,64,70,69,70,73,56,69,47,70,65,64,36,61,36,73,53,80,72,58,185
18713,M. Marran,ST,52,69,210000.0,5000.0,20,175,2022.0,3,64,52,53,55,54,39,46,28,52,62,65,72,50,73,53,75,58,51,55,175
17786,G. Schäfer,"LM, ST",56,70,325000.0,1000.0,18,178,2022.0,2,64,57,48,59,47,54,59,43,57,62,65,61,36,66,61,56,47,55,56,178
5645,Fabrício,"ST, LW",69,69,1200000.0,5000.0,31,183,2024.0,2,64,70,75,68,69,67,77,70,67,65,64,73,67,54,77,81,79,71,74,183
17859,C. Măgureanu,"ST, CAM",55,68,325000.0,800.0,21,181,2024.0,3,64,53,57,55,53,56,43,30,54,65,63,70,53,71,55,73,66,54,60,181
8144,C. Daferner,ST,67,73,1600000.0,6000.0,23,189,2023.0,3,64,67,68,70,65,55,66,36,64,59,68,60,68,58,68,67,78,70,58,189
4610,R. Verenas,ST,70,70,550000.0,500.0,37,186,2026.0,3,64,71,71,71,66,64,75,68,75,66,62,67,73,57,73,64,79,65,70,186
5761,Joo Min Kyu,ST,69,69,1200000.0,4000.0,31,183,2022.0,3,64,73,79,77,69,65,70,40,68,67,62,70,60,72,74,74,84,67,65,183
4616,A. Le Fondre,ST,70,70,775000.0,7000.0,34,180,2023.0,3,64,73,71,76,66,63,70,53,70,67,62,72,73,80,73,78,68,73,85,180
16556,Jeong Chi In,"ST, LW",58,65,400000.0,1000.0,23,182,2021.0,3,64,57,59,56,59,49,40,29,57,61,66,67,57,62,63,64,59,63,58,182
3188,F. Montero,"ST, CF, LW",72,72,1500000.0,7000.0,33,175,2021.0,4,64,74,63,71,74,70,78,74,74,66,63,79,72,79,77,70,64,75,82,175
18780,D. Rios,"CAM, ST",52,72,220000.0,500.0,18,178,2021.0,2,64,51,44,59,37,50,38,40,53,61,66,56,56,74,52,57,49,41,49,178
5616,Ji Dong Won,"ST, LM",69,69,1400000.0,4000.0,30,188,2024.0,4,64,67,72,65,73,67,64,62,70,65,64,70,71,66,75,81,74,71,64,188
537,C. Wood,ST,79,79,17500000.0,48000.0,29,191,2023.0,3,64,79,81,81,87,68,74,64,77,60,68,55,77,59,81,79,86,80,81,191
6472,N. Müller,"CAM, ST",68,68,750000.0,2000.0,33,173,2022.0,3,65,67,61,68,53,67,68,60,69,66,64,71,69,73,65,71,56,71,70,173
8653,P. Bojić,"CAM, RW, ST",67,67,1000000.0,5000.0,29,186,2024.0,4,65,66,63,66,46,66,62,68,70,66,65,69,63,70,69,55,70,69,65,186
19076,J. Forst,ST,50,64,110000.0,750.0,18,180,2025.0,3,65,47,47,53,53,42,36,25,52,62,68,53,47,66,44,67,49,46,44,180
19077,T. Lonergan,ST,50,64,110000.0,500.0,17,178,2021.0,2,65,50,46,53,48,42,42,29,48,66,64,61,43,65,50,59,49,51,52,178
8624,M. Pieringer,ST,67,75,2300000.0,2000.0,21,189,2022.0,3,65,67,66,69,64,59,64,39,67,61,69,67,65,55,70,49,74,68,62,189
11656,J. Godínez,ST,64,68,850000.0,10000.0,24,183,2022.0,3,65,62,69,65,71,60,58,27,65,61,68,54,62,52,58,62,79,62,59,183
6591,D. Tadić,ST,68,68,1000000.0,5000.0,31,179,2023.0,4,65,70,70,71,66,58,72,66,70,66,64,75,65,71,73,85,72,70,71,179
19195,H. Singh,ST,48,56,100000.0,500.0,19,180,2023.0,2,65,46,45,48,45,38,48,28,44,63,66,59,45,61,45,56,49,49,41,180
8192,S. Kaba,ST,67,68,1200000.0,10000.0,26,191,2022.0,3,65,66,77,65,69,65,52,39,71,63,66,55,62,63,75,74,89,66,69,191
7564,M. Pektemek,"ST, LM",67,67,825000.0,6000.0,32,182,2022.0,3,65,66,64,66,77,65,66,61,66,66,65,67,70,66,65,84,58,69,71,182
6987,Guruzeta,ST,68,73,1800000.0,3000.0,24,188,2022.0,4,65,68,60,71,70,68,59,44,68,66,65,71,61,50,67,70,74,67,71,188
884,S. Jovetić,"ST, CAM",77,77,9000000.0,47000.0,31,183,2024.0,4,65,79,60,77,74,80,79,74,81,64,65,77,77,66,82,73,70,79,78,183
469,Borja Iglesias,ST,80,80,21500000.0,34000.0,28,187,2024.0,3,65,80,80,82,80,73,71,36,79,61,69,60,76,73,83,70,90,83,79,187
97,Z. Ibrahimović,ST,84,84,14500000.0,51000.0,39,195,2022.0,4,65,87,77,86,83,80,88,75,86,64,66,71,83,53,88,79,87,89,83,195
